"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB0000630","Cytosine","HMDB0000630","597","16040","C00380","283","NC1=CC=NC(=O)N1","1"
"HMDB0000631","Deoxycholic acid glycine conjugate","HMDB0000631","22833539","27471","C05464 ","5604","[H][C@]12CCC3C4CC[C@H]([C@H](C)CCC(=O)NCC(O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@@H](O)C2","1"
"HMDB0000637","Chenodeoxycholic acid glycine conjugate","HMDB0000637","12544","36274","C05466","5610","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O","1"
"HMDB0000638","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(O)=O","1"
"HMDB0000641","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"HMDB0000646","L-Arabinose","HMDB0000646","439764","40886","C00259","5474","O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O","1"
"HMDB0000651","Decanoylcarnitine","HMDB0000651","11953821","28717","C03299","5623","CCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0000653","Cholesterol sulfate","HMDB0000653","65076","41321","C18043","5625","[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O","1"
"HMDB0000658","CE(16:1)","HMDB0000658","22833543","84323","C02530","5629","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/CCCCCC)[C@H](C)CCCC(C)C","1"
"HMDB0000660","D-Fructose","HMDB0000660","439709","28645","C00095","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"HMDB0000673","Linoleic acid","HMDB0000673","5280450","17351","C01595","191","CCCCC\C=C/C\C=C/CCCCCCCC(O)=O","1"
"HMDB0000687","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"HMDB0000692","Fe2+","HMDB0000692","27284","29033","C14818",NA,"[Fe++]","1"
"HMDB0000695","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"HMDB0000696","Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@H](N)C(O)=O","1"
"HMDB0000698","Lithocholic acid glycine conjugate","HMDB0000698","115245","37998","C15557","5666","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O","1"
"HMDB0000699","1-Methylnicotinamide","HMDB0000699","457","16797","C02918","5667","C[N+]1=CC=CC(=C1)C(N)=O","1"
"HMDB0000708","Glycoursodeoxycholic acid","HMDB0000708","12310288","89929",NA,"5676","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCC(O)=O","1"
"HMDB0000719","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","N[C@@H](CCO)C(O)=O","1"
"HMDB0000722","Lithocholyltaurine","HMDB0000722","439763","36259","C02592","5690","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"HMDB0000733","Hyodeoxycholic acid","HMDB0000733","9963687",NA,"C15517","5701","[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](O)C2C[C@H](O)CC[C@]12C","1"
"HMDB0000736","Isobutyryl-L-carnitine","HMDB0000736","168379","84838",NA,"5704","CC(C)C(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000756","Hexanoylcarnitine","HMDB0000756","3246938","84834",NA,"3548","CCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000761","Lithocholic acid","HMDB0000761","9903","16325","C03990","209","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","1"
"HMDB0000765","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"HMDB0000774","Pregnenolone sulfate","HMDB0000774","20845972",NA,NA,"5740","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2CC(CC[C@]12C)OS(O)(=O)=O","1"
"HMDB0000791","Octanoylcarnitine","HMDB0000791","11953814","18102","C02838",NA,"CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000795","Pristanic acid","HMDB0000795","123929","51340",NA,"5760","CC(C)CCCC(C)CCCC(C)CCCC(C)C(O)=O","1"
"HMDB0000801","Phytanic acid","HMDB0000801","26840","16285","C01607","5765","CC(C)CCCC(C)CCCC(C)CCCC(C)CC(O)=O","1"
"HMDB0000806","Myristic acid","HMDB0000806","11005","28875","C06424","196","CCCCCCCCCCCCCC(O)=O","1"
"HMDB0000824","Propionylcarnitine","HMDB0000824","188824","53210","C03017","5787","CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000826","Pentadecanoic acid","HMDB0000826","13849","42504","C16537","5789","CCCCCCCCCCCCCCC(O)=O","1"
"HMDB0000827","Stearic acid","HMDB0000827","5281","28842","C01530","189","CCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0000847","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(O)=O","1"
"HMDB0000848","Stearoylcarnitine","HMDB0000848","52922056","84644",NA,"5811","CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0000852","beta-Sitosterol","HMDB0000852","222284","27693","C01753","169","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C","1"
"HMDB0000870","Histamine","HMDB0000870","774","18295","C00388","68","NCCC1=CNC=N1","1"
"HMDB0000876","Vitamin D3","HMDB0000876","5280795","28940","C05443","222","[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)CCCC(C)C","1"
"HMDB0000879","Tetrahydrodeoxycorticosterone","HMDB0000879","101771","805752","C13713","5840","[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C","1"
"HMDB0000883","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"HMDB0000885","CE(16:0)","HMDB0000885","246520","3663","C11251","5844","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCCCCCCCC)[C@H](C)CCCC(C)C","1"
"HMDB0000892","Valeric acid","HMDB0000892","7991","17418","C00803","110","CCCCC(O)=O","1"
"HMDB0000896","Taurodeoxycholic acid","HMDB0000896","2733768","9410","C05463","5853","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"HMDB0000899","Androstanedione","HMDB0000899","222865","15994","C00674","5855","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)CC[C@]12C","1"
"HMDB0000900","Ergocalciferol","HMDB0000900","5280793","28934","C05441","5856","[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C","1"
"HMDB0000902","NAD","HMDB0000902","5892","44215","C00003","5858","NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O","1"
"HMDB0000908","5alpha-Cholestanol","HMDB0000908","6665","86570",NA,"5864","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"HMDB0000918","CE(18:1)","HMDB0000918","50938266","46898","C14641","5872","CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3CC[C@]4(C)C(CCC4C3CC=C2C1)[C@H](C)CCCC(C)C","1"
"HMDB0000921","Cholestenone","HMDB0000921","91477","16175","C00599","3898","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"HMDB0000929","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"HMDB0000944","Behenic acid","HMDB0000944","8215","28941","C08281","260","CCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0000946","Ursodeoxycholic acid","HMDB0000946","31401","9907","C07880","5893","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O","1"
"HMDB0000951","Taurochenodesoxycholic acid","HMDB0000951","387316","16525","C05465","5897","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O","1"
"HMDB0000961","Farnesyl pyrophosphate","HMDB0000961","445713","17407","C00448","403","CC(C)=CCC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O","1"
"HMDB0000990","Acetaldehyde","HMDB0000990","177","15343","C00084","3200","CC=O","1"
"HMDB0001032","Dehydroepiandrosterone sulfate","HMDB0001032","12594","16814","C04555","4095","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@H](CC[C@]12C)OS(O)(=O)=O","1"
"HMDB0001043","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"HMDB0001056","Dihydrofolic acid","HMDB0001056","98792","15633","C00415","5970","NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2)N1","1"
"HMDB0001072","Coenzyme Q10","HMDB0001072","5281915","46245","C11378","5983","COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O","1"
"HMDB0001085","Leukotriene B4","HMDB0001085","5280492","15647","C02165","406","CCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O","1"
"HMDB0001139","Prostaglandin F2a","HMDB0001139","5283078","15553","C00639","6032","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C\CCCC(O)=O","1"
"HMDB0001160","Tricosanoic acid","HMDB0001160","17085","42394",NA,"4211","CCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0001161","4-Trimethylammoniobutanoic acid","HMDB0001161","725","16244","C01181","6043","C[N+](C)(C)CCCC([O-])=O","1"
"HMDB0001170","Lathosterol","HMDB0001170","65728","17168","C01189","6052","[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"HMDB0001198","Leukotriene C4","HMDB0001198","5280493","16978","C02166","3681","CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)[C@@H](O)CCCC(O)=O","1"
"HMDB0001201","Guanosine diphosphate","HMDB0001201","8977","17552","C00035","6077","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"HMDB0001220","Prostaglandin E2","HMDB0001220","5280360","15551","C00584","6089","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O","1"
"HMDB0001232","4-Nitrophenol","HMDB0001232","980","16836","C00870","4100","OC1=CC=C(C=C1)[N+]([O-])=O","1"
"HMDB0001251","Lanosterol","HMDB0001251","246983","16521","C01724","6108","[H][C@@]1(CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@]1([H])CC3)[C@H](C)CCC=C(C)C","1"
"HMDB0001262","Maltotriose","HMDB0001262","439586","140999","C01835","3585","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB0001264","Dehydroascorbic acid","HMDB0001264","440667","27956","C05422","342","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"HMDB0001273","Guanosine triphosphate","HMDB0001273","6830","15996","C00044","6128","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"HMDB0001304","QH2","HMDB0001304","5280344",NA,"C00390","6146","COC1=C(O)C(C)=C(C\C=C(/C)CCC=C(C)C)C(O)=C1OC","1"
"HMDB0001311","D-Lactic acid","HMDB0001311","61503","42111","C00256","6150","C[C@@H](O)C(O)=O","1"
"HMDB0001314","Cyclic GMP","HMDB0001314","24316","16356","C00942","6152","NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1","1"
"HMDB0001341","ADP","HMDB0001341","6022","16761","C00008","6175","NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"HMDB0001348","SM(d18:1/18:0)","HMDB0001348","6453725","83358","C00550","176","[H][C@@](COP([O-])(=O)OCC[N+](C)(C)C)(NC(=O)CCCCCCCCCCCCCCCCC)[C@H](O)\C=C\CCCCCCCCCCCCC","1"
"HMDB0001358","Retinal","HMDB0001358","638015","17898","C00376","6188","C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=O","1"
"HMDB0001361","Carbon monoxide","HMDB0001361","281","17245","C00237",NA,"[C-]#[O+]","1"
"HMDB0001377","Oxygen","HMDB0001377","977","15379","C00007","3195","O=O","1"
"HMDB0001383","Sphinganine 1-phosphate","HMDB0001383","644260","16893","C01120","3512","CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)COP(O)(O)=O","1"
"HMDB0001388","alpha-Linolenic acid","HMDB0001388","5280934","27432","C06427","6208","CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O","1"
"HMDB0001396","5-Methyltetrahydrofolic acid","HMDB0001396","439234","15641","C00440","6215","CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2","1"
"HMDB0001397","Guanosine monophosphate","HMDB0001397","6804","17345","C00144","6216","NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1","1"
"HMDB0001403","Prostaglandin D2","HMDB0001403","448457","15555","C00696","6221","[H][C@](O)(CCCCC)\C=C\[C@@]1([H])C(=O)C[C@]([H])(O)[C@]1([H])C\C=C/CCCC(O)=O","1"
"HMDB0001406","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"HMDB0001419","24-Hydroxycholesterol","HMDB0001419","121948","34310","C13550",NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@H](O)C(C)C","1"
"HMDB0001425","Estrone sulfate","HMDB0001425","3001028","17474","C02538","3556","C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(OS(O)(=O)=O)=C4)[C@@H]1CCC2=O","1"
"HMDB0001429","Phosphate","HMDB0001429","1004","26078","C00009","3231","OP(O)(O)=O","1"
"HMDB0001431","Pyridoxamine","HMDB0001431","1052","16410","C00534","238","CC1=C(O)C(CN)=C(CO)C=N1","1"
"HMDB0001438","25-Hydroxyvitamin D2","HMDB0001438","22833566",NA,NA,NA,"C[C@H](\C=C\[C@H](C)C(O)(C)C)C1CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C","1"
"HMDB0001442","Prostaglandin E1","HMDB0001442","5280723","15544","C04741","416","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O","1"
"HMDB0001448","Sulfate","HMDB0001448","1117","26836","C00059","3233","OS(O)(=O)=O","1"
"HMDB0001449","Allopregnanolone","HMDB0001449","92786","50169","C13712",NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O","1"
"HMDB0001451","(R)-Lipoic acid","HMDB0001451","6112","30314","C16241","126","OC(=O)CCCC[C@@H]1CCSS1","1"
"HMDB0001452","Thromboxane A2","HMDB0001452","5280497","15627","C02198","6253","CCCCC[C@H](O)\C=C\[C@H]1O[C@H]2C[C@H](O2)[C@@H]1C\C=C/CCCC(O)=O","1"
"HMDB0001453","Thiocyanate","HMDB0001453","9322","18022","C01755",NA,"[S-]C#N","1"
"HMDB0001455","Alloepipregnanolone","HMDB0001455","92787","11909","C15484",NA,"[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C","1"
"HMDB0001471","Epipregnanolone","HMDB0001471","228491","16229","C11825",NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(C)=O","1"
"HMDB0001488","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","OC(=O)C1=CN=CC=C1","1"
"HMDB0001492","gamma-Tocopherol","HMDB0001492","92729","18185","C02483","6276","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=CC(O)=C(C)C(C)=C2O1","1"
"HMDB0001496","7alpha-Hydroxycholesterol","HMDB0001496","107722","17500","C03594","6280","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"HMDB0001509","20-Hydroxy-leukotriene B4","HMDB0001509","5280745","15646","C04853","6287","OCCCCC\C=C/C[C@@H](O)\C=C\C=C\C=C/[C@@H](O)CCCC(O)=O","1"
"HMDB0001514","Glucosamine","HMDB0001514","439213","47977","C00329","266","N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O","1"
"HMDB0001545","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(CO)C(C=O)=C1O","1"
"HMDB0001547","Corticosterone","HMDB0001547","5753","16827","C02140","6314","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C)C(=O)CO","1"
"HMDB0001562","Folinic acid","HMDB0001562","149436","63606","C03479","6323","NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2C=O)N1","1"
"HMDB0001659","Acetone","HMDB0001659","180","15347","C00207","3745","CC(C)=O","1"
"HMDB0001830","Progesterone","HMDB0001830","5994","17026","C00410","402","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","1"
"HMDB0001846","Tetrahydrofolic acid","HMDB0001846","91443","20506","C00101","714","NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1","1"
"HMDB0001851","L-Arabitol","HMDB0001851","439255","18403","C00532","141","OC[C@H](O)C(O)[C@@H](O)CO","1"
"HMDB0001852","all-trans-Retinoic acid","HMDB0001852","444795","15367","C00777","2277","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O","1"
"HMDB0001870","Benzoic acid","HMDB0001870","243","30746","C00180","1297","OC(=O)C1=CC=CC=C1","1"
"HMDB0001875","Methanol","HMDB0001875","887","17790","C00132","4201","CO","1"
"HMDB0001893","alpha-Tocopherol","HMDB0001893","14985","18145","C02477","6376","CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1","1"
"HMDB0001903","Calcitriol","HMDB0001903","5280453","17823","C01673","6382","C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C","1"
"HMDB0001913","Omeprazole","HMDB0001913","4594","77260","C07324","1632","COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C","1"
"HMDB0001926","17a-Ethynylestradiol","HMDB0001926","5991","4903","C07534","6392","[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3","1"
"HMDB0001967","Carbon dioxide","HMDB0001967","280","16526","C00011","3199","O=C=O","1"
"HMDB0001983","5'-Deoxyadenosine","HMDB0001983","439182","17319","C05198",NA,"C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12","1"
"HMDB0001993","7a-Hydroxy-cholestene-3-one","HMDB0001993","123743","17899","C05455","6419","[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"HMDB0001999","Eicosapentaenoic acid","HMDB0001999","446284","28364","C06428","6423","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O","1"
"HMDB0002003","Tetracosanoic acid","HMDB0002003","11197","28866","C08320","6427","CCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002013","Butyrylcarnitine","HMDB0002013","213144","21949","C02862","6436","CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0002014","cis-5-Tetradecenoylcarnitine","HMDB0002014","22833575","73060",NA,"6437","CCCCCCCC\C=C/CCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"HMDB0002027","8-Dehydrocholesterol","HMDB0002027","129846","89982",NA,NA,"[H][C@@]1(CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)CC1=CC3)[C@H](C)CCCC(C)C","1"
"HMDB0002061","Hyaluronic acid","HMDB0002061","53477741","150712","C00518",NA,"[H]O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2C(O)=O)[C@@H]1NC(C)=O","1"
"HMDB0002068","Erucic acid","HMDB0002068","5281116","28792","C08316","6470","CCCCCCCC\C=C/CCCCCCCCCCCC(O)=O","1"
"HMDB0002088","Oleoylethanolamide","HMDB0002088","5283454","71466",NA,NA,"CCCCCCCC\C=C/CCCCCCCC(=O)NCCO","1"
"HMDB0002095","Malonylcarnitine","HMDB0002095","91825606","85470",NA,"6484","C[N+](C)(C)C[C@@H](CC([O-])=O)OC(=O)CC(O)=O","1"
"HMDB0002100","Palmitoylethanolamide","HMDB0002100","4671","71464","C16512",NA,"CCCCCCCCCCCCCCCC(=O)NCCO","1"
"HMDB0002103","27-Hydroxycholesterol","HMDB0002103","123976","76591","C15610","6487","[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC[C@@H](C)CO","1"
"HMDB0002111","Water","HMDB0002111","962","15377","C00001","3194","O","1"
"HMDB0002117","Oleamide","HMDB0002117","5283387","116314","C19670",NA,"CCCCCCCC\C=C/CCCCCCCC(N)=O","1"
"HMDB0002177","Cis-8,11,14,17-Eicosatetraenoic acid","HMDB0002177","11722594","71488",NA,NA,"CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(O)=O","1"
"HMDB0002183","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O","1"
"HMDB0002190","5,6-Epoxy-8,11,14-eicosatrienoic acid","HMDB0002190","5283202","34450","C14768",NA,"CCCCC\C=C/C\C=C/C\C=C/CC1OC1CCCC(O)=O","1"
"HMDB0002200","Leukotriene E4","HMDB0002200","5280879","15650","C05952","3536","CCCCC\C=C/C\C=C/C=C/C=C/[C@@H](SC[C@H](N)C(O)=O)[C@@H](O)CCCC(O)=O","1"
"HMDB0002212","Arachidic acid","HMDB0002212","10467","28822","C06425","401","CCCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002226","Adrenic acid","HMDB0002226","5497181","53487","C16527","6560","CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCC(O)=O","1"
"HMDB0002231","11Z-Eicosenoic acid","HMDB0002231","5282768","32425","C16526","6563","CCCCCCCC\C=C/CCCCCCCCCC(O)=O","1"
"HMDB0002232","8,9-Epoxyeicosatrienoic acid","HMDB0002232","5283203","34490","C14769",NA,"CCCCC\C=C/C\C=C/CC1OC1C\C=C/CCCC(O)=O","1"
"HMDB0002250","Dodecanoylcarnitine","HMDB0002250","168381","77086",NA,"6573","CCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"HMDB0002259","Heptadecanoic acid","HMDB0002259","10465","32365",NA,"6578","CCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002329","Oxalic acid","HMDB0002329","971","16995","C00209","113","OC(=O)C(O)=O","1"
"HMDB0002356","Hexacosanoic acid","HMDB0002356","10469","31009",NA,"6642","CCCCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"HMDB0002368","Nervonic acid","HMDB0002368","5281120","44247","C08323","262","CCCCCCCC\C=C/CCCCCCCCCCCCCC(O)=O","1"
