ligand	receptor
Wnt7a	Ldlr
Cxcl11	Adra2a
Cxcl11	Ackr3
Cxcl11	Mtnr1a
Cxcl11	Cxcr3
Cxcl11	Ccr3
Cxcl11	Ccr5
Cxcl11	Grm7
Cxcl11	Ackr1
Mstn	Acvr1b_Acvr2a
Mstn	Acvr2a_Tgfbr1
Mstn	Acvr1b_Acvr2b
Mstn	Acvr2b_Tgfbr1
Wnt9a	Fzd9_Lrp5
Wnt9a	Fzd9_Lrp6
Wnt9a	Fzd6_Lrp5
Wnt9a	Fzd6_Lrp6
Wnt9a	Fzd7_Lrp5
Wnt9a	Fzd7_Lrp6
Wnt9a	Fzd5_Lrp5
Wnt9a	Fzd2_Lrp5
Wnt9a	Fzd8_Lrp5
Wnt9a	Fzd3_Lrp5
Wnt9a	Fzd4_Lrp5
Wnt9a	Fzd10_Lrp5
Wnt9a	Fzd1_Lrp5
Wnt9a	Fzd5_Lrp6
Wnt9a	Fzd2_Lrp6
Wnt9a	Fzd8_Lrp6
Wnt9a	Fzd3_Lrp6
Wnt9a	Fzd4_Lrp6
Wnt9a	Fzd10_Lrp6
Wnt9a	Fzd1_Lrp6
Wnt9b	Fzd9_Lrp5
Wnt9b	Fzd9_Lrp6
Wnt9b	Fzd6_Lrp5
Wnt9b	Fzd6_Lrp6
Wnt9b	Fzd7_Lrp5
Wnt9b	Fzd7_Lrp6
Wnt9b	Fzd5_Lrp5
Wnt9b	Fzd2_Lrp5
Wnt9b	Fzd8_Lrp5
Wnt9b	Fzd3_Lrp5
Wnt9b	Fzd4_Lrp5
Wnt9b	Fzd10_Lrp5
Wnt9b	Fzd1_Lrp5
Wnt9b	Fzd5_Lrp6
Wnt9b	Fzd2_Lrp6
Wnt9b	Fzd8_Lrp6
Wnt9b	Fzd3_Lrp6
Wnt9b	Fzd4_Lrp6
Wnt9b	Fzd10_Lrp6
Wnt9b	Fzd1_Lrp6
Sema3e	Nrp1
Sema3e	Plxnd1
Angpt2	Itga5_Itgb1
Angpt2	Tie1
Angpt2	Tek
Npff	Npffr1
Npff	Npffr2
Vgf	Ntrk1
Ccl25	Adra2a
Ccl25	Ccr10
Ccl25	Mtnr1a
Ccl25	Ccr9
Ccl25	Grm7
Ccl25	Ackr4
Fgf10	Fgfr1
Fgf10	Fgfr2
Fgf10	Fgfrl1
Fgf16	Fgfr1
Fgf16	Fgfr2
Fgf16	Fgfr4
Fgf16	Fgfr3
Dhh	Ptch1_Smo
Dhh	Ptch2_Smo
Dhh	Cdon
Dhh	Boc
Hcrt	Hcrtr1
Hcrt	Hcrtr2
Hcrt	Npffr2
Edil3	Itgb3
Edil3	Itgav
Edil3	Itgb5
Cd5l	Cd5
Vegfd	Flt4_Kdr
Vegfd	Nrp2
Vegfd	Itgb1
Vegfd	Itga5
Vegfd	Itga4
Vegfd	Itga2
Vegfd	Flt1
Vegfd	Itga1
Vegfd	Itga9
Cxcl13	Adra2a
Cxcl13	Cxcr5
Cxcl13	Ccr10
Cxcl13	Mtnr1a
Cxcl13	Cxcr3
Cxcl13	Grm7
Cxcl13	Ackr1
Cxcl13	Ackr4
Fgf17	Fgfr1
Fgf17	Fgfr2
Fgf17	Fgfr4
Fgf17	Fgfr3
Gdf9	Acvr1b_Bmpr2
Gdf9	Bmpr2_Tgfbr1
Gdf9	Bmpr1b
Gdf9	Acvr2a
Gdf9	Bmpr1a
Pspn	Gfra4_Ret
Pspn	Gfra2
Pspn	Sdc3
Pspn	Gfra1
Grem1	Kdr
Slit1	Sdc1
Slit1	Gpc1
Slit1	Robo2
Slit1	Flrt3
Slit1	Robo1
Slit3	Robo4
Slit3	Robo2
Slit3	Robo1
Fgf18	Fgfr1
Fgf18	Fgfr2
Fgf18	Fgfr4
Fgf18	Fgfr3
Slit2	App
Slit2	Sdc1
Slit2	Gpc1
Slit2	Dcc
Slit2	Robo4
Slit2	Robo2
Slit2	Robo1
Lrig2	Egfr
Dkk1	Lrp4
Dkk1	Lrp5
Dkk1	Lrp6
Dkk1	Kremen2
Dkk1	Kremen1
Sema3d	Nrp1_Plxna2
Sema3d	Nrp1_Plxna3
Sema3d	Nrp1_Plxna4
Sema3d	Nrp1_Plxna1
Sema3d	Nrp2_Plxna2
Sema3d	Nrp2_Plxna3
Sema3d	Nrp2_Plxna4
Sema3d	Nrp2_Plxna1
Sema3d	Plxnd1
Nxph2	Nrxn1
Nxph3	Nrxn1
Nxph3	Nrxn3
Nxph3	Nrxn2
Ccn4	Itgb1
Ccn4	Itga5
Gdf11	Acvr1b_Acvr2a
Gdf11	Acvr2a_Tgfbr1
Gdf11	Acvr1b_Acvr2b
Gdf11	Acvr2b_Tgfbr1
Gdf11	Bmpr1b
Gdf11	Bmpr1a
Gdf11	Bmpr2
Gdf11	Antxr1
Bmp10	Acvr2a_Acvrl1
Bmp10	Acvr2b_Acvrl1
Bmp10	Acvrl1_Bmpr2
Bmp10	Bmpr1b
Bmp10	Ffar2
Bmp10	Bmpr1a
Bmp10	Gpr152
Bmp10	Vsir
Uts2	Uts2r
Ntn1	Unc5c
Ntn1	Adora2b
Ntn1	Mcam
Ntn1	Dcc
Ntn1	Unc5d
Ntn1	Unc5a
Ntn1	Unc5b
Ntn1	Neo1
Cxcl14	Cxcr4
Fgf15	Fgfr1
Fgf15	Fgfr2
Fgf15	Fgfr4
Fgf15	Fgfr3
Fgf15	Klb
Il33	Il1rap_Il1rl1
Cer1	Mrc2
Angptl1	Tek
Olfm2	Robo2
Lgi1	Adam23
Lgi1	Rtn4r
Bmp15	Bmpr1b_Bmpr2
Bmp15	Acvr2a
Bmp15	Bmpr1a
Wnt11	Fzd9
Wnt11	Musk
Wnt11	Fzd6
Wnt11	Fzd7
Wnt11	Fzd5
Wnt11	Fzd2
Wnt11	Fzd8
Wnt11	Fzd3
Wnt11	Fzd4
Wnt11	Fzd10
Hp	Tlr4
Hp	Asgr1
Hp	Asgr2
Hp	Itgam
Hp	Cd22
Hp	Cd163
Plg	F2rl2
Plg	Itgb1
Plg	Itgam
Plg	Igf2r
Plg	F3
Plg	Flt1
Plg	F2r
Plg	F2rl1
Plg	Plaur
Plg	Itga9
Plg	Pard3
Plg	F2rl3
Agt	Mas1
Agt	Adra2a
Agt	Mtnr1a
Agt	Agtr2
Agt	Lrp2
Agt	Grm7
Pdgfb	Pdgfra_Pdgfrb
Pdgfb	Itgav
Pdgfb	S1pr1
Pdgfb	Lrp1
Pdgfb	Adgrv1
Egf	Egfr_Erbb2
Egf	Nrp1
Egf	Ldlr
Egf	Adrb2
Egf	Erbb3
Egf	Fshr
Egf	Axl
Egf	Lrp2
Egf	Erbb4
Tgfb1	Itgav_Itgb6
Tgfb1	Acvr1b_Tgfbr2
Tgfb1	Tgfbr1_Tgfbr2
Tgfb1	Acvr1_Tgfbr1_Tgfbr2
Tgfb1	Acvr1_Tgfbr2
Tgfb1	Acvr1c_Tgfbr2
Tgfb1	Egfr
Tgfb1	Itgb3
Tgfb1	Itgb1
Tgfb1	Itgb5
Tgfb1	Itgb8
Tgfb1	Sdc2
Tgfb1	Acvrl1
Tgfb1	Cxcr4
Tgfb1	Tgfbr3
Tgfb1	Vasn
Ngf	Ntrk1
Ngf	Ngfr
Ngf	Sorcs2
Nppa	Npr1
Nppa	Npr3
Nppa	Npr2
Oxt	Avpr2
Oxt	Oxtr
Oxt	Avpr1a
Oxt	Avpr1b
Avp	Ramp2
Avp	Ramp3
Avp	Ldlr
Avp	Adrb2
Avp	Adrb3
Avp	Tshr
Avp	Avpr2
Avp	Oxtr
Avp	Vipr1
Avp	Avpr1a
Avp	Adcyap1r1
Avp	Avpr1b
Avp	Lrp2
Avp	Pth1r
Avp	Gpr20
Avp	Gpr84
Pomc	Ramp2
Pomc	Ramp3
Pomc	Adrb2
Pomc	Adra2a
Pomc	Adrb3
Pomc	Tshr
Pomc	Vipr1
Pomc	Mc4r
Pomc	Mc5r
Pomc	Oprm1
Pomc	Oprk1
Pomc	Oprl1
Pomc	Adcyap1r1
Pomc	Mc3r
Pomc	Mtnr1a
Pomc	Mc2r
Pomc	Mc1r
Pomc	Pth1r
Pomc	Grm7
Pomc	Gpr20
Pomc	Gpr84
Penk	Adra2a
Penk	Oprm1
Penk	Oprk1
Penk	Oprl1
Penk	Mtnr1a
Penk	Grm7
Penk	Ogfr
Pdyn	Adra2a
Pdyn	Oprm1
Pdyn	Oprk1
Pdyn	Oprl1
Pdyn	Mtnr1a
Pdyn	Grm7
Cga	Ramp2
Cga	Ramp3
Cga	Adrb2
Cga	Adrb3
Cga	Tshr
Cga	Lhcgr
Cga	Fshr
Cga	Vipr1
Cga	Adcyap1r1
Cga	Pth1r
Cga	Gpr20
Cga	Gpr84
Tshb	Ramp2
Tshb	Ramp3
Tshb	Adrb2
Tshb	Adrb3
Tshb	Tshr
Tshb	Vipr1
Tshb	Adcyap1r1
Tshb	Pth1r
Tshb	Gpr20
Tshb	Gpr84
Fshb	Ramp2
Fshb	Ramp3
Fshb	Adrb2
Fshb	Adrb3
Fshb	Tshr
Fshb	Fshr
Fshb	Vipr1
Fshb	Adcyap1r1
Fshb	Pth1r
Fshb	Gpr20
Fshb	Gpr84
Gh	Ghr
Gh	Prlr
Gh	Ghr
Calca	Adrb2
Calca	Adrb3
Calca	Tshr
Calca	Vipr1
Calca	Adcyap1r1
Calca	Pth1r
Calca	Gpr20
Calca	Gpr84
Tg	Tpo
Tg	Asgr1
Tg	Lrp2
Pth	Ramp2
Pth	Ramp3
Pth	Lrp6
Pth	Adrb2
Pth	Adrb3
Pth	Tshr
Pth	Vipr1
Pth	Adcyap1r1
Pth	Pth2r
Pth	Pth1r
Pth	Gpr20
Pth	Gpr84
Gcg	Ramp2
Gcg	Ramp3
Gcg	Glp2r
Gcg	Adrb2
Gcg	Adrb3
Gcg	Tshr
Gcg	Vipr1
Gcg	Adcyap1r1
Gcg	Glp1r
Gcg	Gcgr
Gcg	Gipr
Gcg	Pth1r
Gcg	Gpr20
Gcg	Gpr84
Vip	Ramp1
Vip	Ramp2
Vip	Ramp3
Vip	Adrb2
Vip	Adrb3
Vip	Tshr
Vip	Npr3
Vip	Vipr1
Vip	Avpr1a
Vip	Adcyap1r1
Vip	Vipr2
Vip	Sctr
Vip	Pth1r
Vip	Gpr20
Vip	Gpr84
Ghrh	Ramp2
Ghrh	Ramp3
Ghrh	Adrb2
Ghrh	Adrb3
Ghrh	Tshr
Ghrh	Vipr1
Ghrh	Adcyap1r1
Ghrh	Vipr2
Ghrh	Ghrhr
Ghrh	Pth1r
Ghrh	Ghsr
Ghrh	Gpr20
Ghrh	Gpr84
Ppy	Adra2a
Ppy	Npy1r
Ppy	Mtnr1a
Ppy	Npy2r
Ppy	Npy4r
Ppy	Grm7
Ppy	Npy5r
Ppy	Npy6r
Ppy	Gpr83
Npy	Adra2a
Npy	Npy1r
Npy	Mc4r
Npy	Mtnr1a
Npy	Npy2r
Npy	Prlhr
Npy	Npy4r
Npy	Grm7
Npy	Npy5r
Npy	Npy6r
Npy	Gpr83
Npy	Npffr2
Igf2	Itgav_Itgb3
Igf2	Itga6_Itgb4
Igf2	Insr
Igf2	Igf1r
Igf2	Igf2r
Igf2	Gpr152
Gast	Cckbr
Gast	Gpr152
Lta	Tnfrsf1a
Lta	Tnfrsf1b
Lta	Tnfrsf14
Ifnb1	Ifnar1_Ifnar2
Ifng	Ifngr1_Ifngr2
Il1a	Il1r1_Il1rap
Il1a	Il1r2_Il1rap
Il1b	Il1r1_Il1rap
Il1b	Il1r2_Il1rap
Il1b	Adrb2
Il1b	Sigirr
Epo	Epor
Epo	Ephb4
Apoa1	Ldlr
Apoa1	Lrp2
Apoa1	Lrp1
Apoe	Lrp4
Apoe	Lrp5
Apoe	Lrp6
Apoe	Ldlr
Apoe	Sdc2
Apoe	Vldlr
Apoe	Lrp2
Apoe	Lrp1
Apoe	Lrp8
Apoe	Lsr
Apoe	Scarb1
Apoe	Trem2
Apoa2	Ldlr
Apoa2	Lrp2
Apoa2	Lrp1
Apoc2	Ldlr
Apoc2	Lrp2
Apoc2	Lrp1
Apoc3	Tlr2
Apoc3	Ldlr
Apoc3	Sdc2
Apoc3	Lrp2
Apoc3	Lrp1
Ttr	Ngfr
Gc	Lrp2
Ppbp	Adra2a
Ppbp	Cxcr2
Ppbp	Mtnr1a
Ppbp	Grm7
Ppbp	Ackr1
Pf4	Ldlr
Pf4	Thbd
Pf4	Adra2a
Pf4	Fgfr2
Pf4	Sdc2
Pf4	Mtnr1a
Pf4	Cxcr3
Pf4	Lrp1
Pf4	Grm7
Pf4	Ackr1
Pf4	Procr
Cxcl10	Adra2a
Cxcl10	Mtnr1a
Cxcl10	Cxcr3
Cxcl10	Ccr3
Cxcl10	Grm7
Cxcl10	Ackr1
Trf	Ldlr
Trf	Tfrc
Trf	Adrb2
Trf	Lrp2
Trf	Tfr2
Hpx	Lrp1
Amh	Amhr2_Bmpr1b
Amh	Amhr2_Bmpr1a
Amh	Acvr1_Amhr2
Amh	Egfr
Pdgfa	Pdgfrb
Pdgfa	Pdgfra
Rln1	Ramp2
Rln1	Ramp3
Rln1	Adrb2
Rln1	Adrb3
Rln1	Tshr
Rln1	Vipr1
Rln1	Adcyap1r1
Rln1	Pth1r
Rln1	Rxfp2
Rln1	Gpr20
Rln1	Rxfp1
Rln1	Gpr84
Rln1	Rxfp3
Apob	Tlr4
Apob	Lrp6
Apob	Ldlr
Apob	Adrb2
Apob	Itgam
Apob	Olr1
Apob	Vldlr
Apob	Lrp2
Apob	Lrp1
Apob	Lrp8
Apob	Lsr
Apob	Tlr6
Csf2	Itgb1
Csf2	Csf1r
Csf2	Il3ra
Csf2	Sdc2
Csf2	Itga9
Csf2	Csf3r
Wnt1	Fzd9_Lrp5
Wnt1	Fzd9_Lrp6
Wnt1	Fzd6_Lrp5
Wnt1	Fzd6_Lrp6
Wnt1	Fzd7_Lrp5
Wnt1	Fzd7_Lrp6
Wnt1	Fzd5_Lrp5
Wnt1	Fzd2_Lrp5
Wnt1	Fzd8_Lrp5
Wnt1	Fzd3_Lrp5
Wnt1	Fzd4_Lrp5
Wnt1	Fzd10_Lrp5
Wnt1	Fzd1_Lrp5
Wnt1	Fzd5_Lrp6
Wnt1	Fzd2_Lrp6
Wnt1	Fzd8_Lrp6
Wnt1	Fzd3_Lrp6
Wnt1	Fzd4_Lrp6
Wnt1	Fzd10_Lrp6
Wnt1	Fzd1_Lrp6
Wnt1	Cd36
Wnt1	Ryk
Wnt1	Ror2
Rln1	Rxfp4
Rln1	Rxfp2
Rln1	Rxfp1
Rln1	Rxfp3
Igf1	Itgav_Itgb3
Igf1	Itga6_Itgb4
Igf1	Insr
Igf1	Igf1r
Igf1	Igf2r
Apod	Lepr
S100a8	Tlr4
S100a8	Cd36
S100a8	Cd68
S100a8	Ager
Inha	Tgfbr3
Inha	Acvr1
Il4	Il2rg_Il4ra
Il4	Il13_Il13ra1_Il4ra
Il4	Il13ra1_Il4ra
Il4	Il13ra2_Il4ra
Il4	Cd53
Fgf1	Nrp1
Fgf1	Egfr
Fgf1	Fgfr1
Fgf1	Cd44
Fgf1	Fgfr2
Fgf1	Fgfr4
Fgf1	Fgfr3
Fgf1	Tgfbr3
Fgf1	Cspg4
Fgf1	Fgfrl1
Il6	Il6ra_Il6st
Il6	F3
Il6	Hrh1
Edn1	Ednrb
Edn1	Ednra
Edn1	Adgrl4
H2-Ab1	Lag3
Cck	Cckar
Cck	Cckbr
S100a9	Tlr4
S100a9	Cd36
S100a9	Cd68
S100a9	Ager
Apoa4	Ldlr
Apoa4	Lrp2
Apoa4	Lrp1
Gpi1	Ntrk1
Crh	Ramp2
Crh	Ramp3
Crh	Adrb2
Crh	Adrb3
Crh	Tshr
Crh	Vipr1
Crh	Crhr1
Crh	Adcyap1r1
Crh	Mc2r
Crh	Pth1r
Crh	Crhr2
Crh	Gpr20
Crh	Gpr84
Calca	Calcrl_Ramp1
Calca	Calcrl_Ramp2
Calca	Calcrl_Ramp3
Grp	Nmbr
Grp	Grpr
Grp	Brs3
Dcn	Tlr4
Dcn	Tlr2
Dcn	Egfr
Dcn	Met
Dcn	Erbb4
Inhba	Tgfbr3
Inhba	Bambi
Plg	Itgam
Plg	Lrp2
Plg	Lpar4
Plg	Lpar2
Plg	Lpar3
Fgf4	Nrp1
Fgf4	Fgfr1
Fgf4	Fgfr2
Fgf4	Fgfr4
Fgf4	Fgfr3
Fgf4	Fgfrl1
Nmb	Nmbr
Nmb	Grpr
Nmb	Brs3
Fgf2	Nrp1
Fgf2	Sdc3
Fgf2	Gpc4
Fgf2	Fgfr1
Fgf2	Cd44
Fgf2	Sdc1
Fgf2	Fgfr2
Fgf2	Fgfr4
Fgf2	Fgfr3
Fgf2	Sdc2
Fgf2	Fgfrl1
Lgals1	Itgb1
Lgals1	Ptprc
Wnt2	Fzd9_Lrp5
Wnt2	Fzd9_Lrp6
Wnt2	Fzd6_Lrp5
Wnt2	Fzd6_Lrp6
Wnt2	Fzd7_Lrp5
Wnt2	Fzd7_Lrp6
Wnt2	Fzd5_Lrp5
Wnt2	Fzd2_Lrp5
Wnt2	Fzd8_Lrp5
Wnt2	Fzd3_Lrp5
Wnt2	Fzd4_Lrp5
Wnt2	Fzd10_Lrp5
Wnt2	Fzd1_Lrp5
Wnt2	Fzd5_Lrp6
Wnt2	Fzd2_Lrp6
Wnt2	Fzd8_Lrp6
Wnt2	Fzd3_Lrp6
Wnt2	Fzd4_Lrp6
Wnt2	Fzd10_Lrp6
Wnt2	Fzd1_Lrp6
Gip	Ramp2
Gip	Ramp3
Gip	Insr
Gip	Adrb2
Gip	Adrb3
Gip	Tshr
Gip	Vipr1
Gip	Adcyap1r1
Gip	Gipr
Gip	Pth1r
Gip	Gpr20
Gip	Gpr84
Sct	Ramp2
Sct	Ramp3
Sct	Adrb2
Sct	Adrb3
Sct	Tshr
Sct	Vipr1
Sct	Adcyap1r1
Sct	Vipr2
Sct	Sctr
Sct	Pth1r
Sct	Gpr20
Sct	Gpr84
Csf3	Csf1r
Csf3	Csf3r
C4b	Cd46
C4b	Cr1l
Nps	Ramp2
Nps	Ramp3
Nps	Adrb2
Nps	Adrb3
Nps	Tshr
Nps	Vipr1
Nps	Adcyap1r1
Nps	Pth1r
Nps	Npsr1
Nps	Gpr20
Nps	Gpr84
Apela	Aplnr
Gh	Prlr
Gh	Prlr
Lhb	Lhcgr
Slurp2	Chrna3
Pyy	Adra2a
Pyy	Npy1r
Pyy	Mtnr1a
Pyy	Npy2r
Pyy	Npy4r
Pyy	Grm7
Pyy	Npy5r
Pyy	Npy6r
Pyy	Gpr83
Calcb	Ramp1
Calcb	Ramp2
Calcb	Ramp3
Calcb	Adrb2
Calcb	Adrb3
Calcb	Tshr
Calcb	Vipr1
Calcb	Adcyap1r1
Calcb	Pth1r
Calcb	Calcrl
Calcb	Gpr20
Calcb	Gpr84
Ccl3	Ccr3
Ccl3	Ccr4
Ccl3	Ccr5
Spp1	Itgav_Itgb3
Spp1	Itgav_Itgb1
Spp1	Itga5_Itgb1
Spp1	Itga4_Itgb1
Spp1	Itga8_Itgb1
Spp1	Itga9_Itgb1
Spp1	Itgav_Itgb5
Spp1	Itgav_Itgb6
Spp1	Cd44
Spp1	Ptger4
Spp1	Ccr8
Pf4	Cxcr3
Rbp3	Notch1
Fgf6	Fgfr1
Fgf6	Fgfr2
Fgf6	Fgfr4
Fgf6	Fgfr3
Iapp	Ramp1
Iapp	Ramp2
Iapp	Ramp3
Iapp	Adrb2
Iapp	Adrb3
Iapp	Tshr
Iapp	Vipr1
Iapp	Adcyap1r1
Iapp	Pth1r
Iapp	Calcrl
Iapp	Gpr20
Iapp	Gpr84
Fgf3	Fgfr1
Fgf3	Fgfr2
Fgf3	Fgfr4
Fgf3	Fgfr3
Fgf3	Fgfrl1
Scgb1a1	Lrp2
Fgf5	Fgfr1
Fgf5	Fgfr2
Fgf5	Fgfr4
Fgf5	Fgfr3
Pthlh	Ramp2
Pthlh	Ramp3
Pthlh	Adrb2
Pthlh	Adrb3
Pthlh	Tshr
Pthlh	Vipr1
Pthlh	Adcyap1r1
Pthlh	Pth2r
Pthlh	Prlhr
Pthlh	Pth1r
Pthlh	Gpr20
Pthlh	Gpr84
Pip	Cd4
Pip	Nptn
Gzma	F2rl2
Gzma	F2r
Gzma	F2rl1
Gzma	Pard3
Gzma	F2rl3
Bmp2	Acvr2a_Bmpr1b
Bmp2	Acvr2b_Bmpr1b
Bmp2	Bmpr1b_Bmpr2
Bmp2	Acvr2a_Bmpr1a
Bmp2	Acvr2b_Bmpr1a
Bmp2	Bmpr1a_Bmpr2
Bmp2	Gpc1
Bmp2	Acvr1
Bmp2	Smo
Bmp4	Acvr2a_Bmpr1b
Bmp4	Acvr2b_Bmpr1b
Bmp4	Bmpr1b_Bmpr2
Bmp4	Acvr2a_Bmpr1a
Bmp4	Acvr2b_Bmpr1a
Bmp4	Bmpr1a_Bmpr2
Bmp4	Lrp6
Bmp3	Acvr1b_Acvr2a
Bmp3	Bmpr1b
Bmp3	Bmpr1a
Bmp3	Acvr2b
Bmp3	Bmpr2
Il7	Il2rg_Il7r
Ccl4	Cnr2
Ccl4	Ccr3
Ccl4	Ccr5
Ccl4	Ccr8
Ccl4	Gpr152
Ccl4	Gprc5d
Bmp1	Bmpr1b
Bmp1	Bmpr1a
Bmp1	Bmpr2
Ccl5	Ccrl2
Ccl5	Gpr75
Ccl5	Adra2a
Ccl5	Sdc1
Ccl5	Mtnr1a
Ccl5	Cxcr3
Ccl5	Ccr3
Ccl5	Ccr4
Ccl5	Ccr5
Ccl5	Grm7
Ccl5	Ackr1
Ccl5	Ackr4
Vcan	Tlr2
Vcan	Egfr
Vcan	Itgb1
Vcan	Itga4
Vcan	Sell
Vcan	Cd44
Vcan	Selp
Vcan	Tlr1
Osm	Il6st_Lifr
Osm	Il6st_Osmr
Col11a2	Itga10_Itgb1
Col11a2	Itga2_Itgb1
Col11a2	Itga1_Itgb1
Col11a2	Itga11_Itgb1
Edn3	Ednrb
Edn3	Ednra
Mif	Cd44_Cd74
Mif	Cd74_Cxcr2
Mif	Cd74_Cxcr4
Mif	Egfr
Mif	Ackr3
Mif	Tnfrsf14
Mif	Tnfrsf10b
Hgf	Nrp1
Hgf	Itgb1
Hgf	Met
Hgf	Cd44
Hgf	Sdc1
Hgf	Sdc2
Nid1	Itgb3
Nid1	Itgb1
Nid1	Itgav
Nid1	Ptprf
Nid1	Itga3
Lif	Il6st_Lifr
Il9	Il2rg_Il9r
Areg	Egfr_Erbb2
Areg	Erbb3
Vegfa	Flt1_Kdr
Vegfa	Nrp1
Vegfa	Nrp2
Vegfa	Egfr
Vegfa	Itgb3
Vegfa	Itgb1
Vegfa	Itgav
Vegfa	Ret
Vegfa	Ephb2
Vegfa	Gpc1
Vegfa	Tyro3
Vegfa	Itga9
Muc1	Siglece
Nppb	Npr1
Nppb	Npr3
Nppb	Npr2
Lgals3	Lag3
Bmp7	Acvr2a_Bmpr1b
Bmp7	Acvr2b_Bmpr1b
Bmp7	Bmpr1b_Bmpr2
Bmp7	Acvr2a_Bmpr1a
Bmp7	Acvr1_Acvr2a
Bmp7	Acvr2b_Bmpr1a
Bmp7	Bmpr1a_Bmpr2
Bmp7	Acvr1_Acvr2b
Bmp7	Acvr1_Bmpr2
Bmp7	Ptprk
Adcyap1	Ramp2
Adcyap1	Ramp3
Adcyap1	Adrb2
Adcyap1	Adrb3
Adcyap1	Tshr
Adcyap1	Vipr1
Adcyap1	Adcyap1r1
Adcyap1	Vipr2
Adcyap1	Sctr
Adcyap1	Pth1r
Adcyap1	Gpr20
Adcyap1	Gpr84
Il1rn	Il1rl2
Fst	Bmpr1b
Fst	Bmpr2
Tac1	Tacr2
Pmch	Adra2a
Pmch	Mtnr1a
Pmch	Mertk
Pmch	Grm7
Pmch	Mchr1
Trh	Trhr
Ntf3	Ntrk1
Ntf3	Ngfr
Ntf3	Ntrk3
Ntf3	Ntrk2
Edn2	Ednrb
Edn2	Ednra
Ptn	Itgav_Itgb3
Ptn	Plxnb2
Ptn	Sdc3
Ptn	Sdc1
Ptn	Ptprb
Ptn	Ptprz1
Ptn	Sdc2
Ptn	Ptprs
Ptn	Alk
Mdk	Itga4_Itgb1
Mdk	Itga6_Itgb1
Mdk	Tspan1
Mdk	Sdc3
Mdk	Sdc1
Mdk	Ptprz1
Mdk	Sdc2
Mdk	Lrp2
Mdk	Notch2
Mdk	Lrp1
Mdk	Alk
Zp3	Egfr
Zp3	Mertk
Fgf7	Nrp1
Fgf7	Fgfr1
Fgf7	Fgfr2
Fgf7	Fgfr4
Fgf7	Fgfr3
Bmp5	Acvr2a_Bmpr1b
Bmp5	Acvr2b_Bmpr1b
Bmp5	Bmpr1b_Bmpr2
Bmp5	Acvr2a_Bmpr1a
Bmp5	Acvr1_Acvr2a
Bmp5	Acvr2b_Bmpr1a
Bmp5	Bmpr1a_Bmpr2
Bmp5	Acvr1_Acvr2b
Bmp5	Acvr1_Bmpr2
Bmp6	Acvr2a_Bmpr1b
Bmp6	Acvr2b_Bmpr1b
Bmp6	Bmpr1b_Bmpr2
Bmp6	Acvr2a_Bmpr1a
Bmp6	Acvr1_Acvr2a
Bmp6	Acvr2b_Bmpr1a
Bmp6	Bmpr1a_Bmpr2
Bmp6	Acvr1_Acvr2b
Bmp6	Acvr1_Bmpr2
Il10	Il10ra_Il10rb
Ccl1	Ccr8
Ccl1	Ackr1
Ccl1	Ackr4
Fgfr4	Tnfrsf10b
Fgfr4	Epha4
Fgfr4	Ptprr
Gal	Galr2
Gal	Galr3
Gal	Adra2a
Gal	Galr1
Gal	Mtnr1a
Gal	Grm7
Gal	Gpr151
Fgfr3	Epha4
Fbln1	Itgb1
Bdnf	Ngfr
Bdnf	Drd4
Bdnf	Ntrk2
Bdnf	Gpr152
Nppc	Npr1
Nppc	Npr3
Nppc	Npr2
Col8a2	Itga10_Itgb1
Col8a2	Itga2_Itgb1
Col8a2	Itga1_Itgb1
Col8a2	Itga11_Itgb1
Azgp1	Itgav
S100a4	Egfr
S100a4	Erbb2
S100a4	Ccr5
Mst1	Mst1r
Calr	Itgav
Calr	Itga2b
Calr	Tshr
Calr	Itga3
Calr	Mpl
Calr	Mtnr1a
Calr	Lrp1
Calr	Scarf1
Cfp	Ncr1
Grn	Egfr
Grn	Ntrk1
Grn	Tnfrsf1a
Grn	Tnfrsf1b
Ccn2	Lrp6
Ccn2	Egfr
Ccn2	Ntrk1
Ccn2	Itga5
Ccn2	Itgam
Ccn2	Igf2r
Ccn2	Fgfr2
Ccn2	Lrp1
Ccn2	Erbb4
Il12a	Cd28
Nts	Ntsr2
Nts	Ngfr
Nts	Ntsr1
Fgf9	Fgfr1
Fgf9	Fgfr2
Fgf9	Fgfr4
Fgf9	Fgfr3
Ntf5	Ntrk1
Ntf5	Ngfr
Ntf5	Ntrk2
Il13	Il13_Il13ra1_Il4ra
Il13	Il13ra1_Il4ra
Il13	Il13ra2_Il4ra
Il13	Il2rg
Il13	Tmem219
Sftpd	Tlr4
Sftpd	Lair1
Adm	Gpr182
Adm	Ramp1
Adm	Ramp2
Adm	Ramp3
Adm	Adrb2
Adm	Adrb3
Adm	Tshr
Adm	Vipr1
Adm	Adcyap1r1
Adm	Pth1r
Adm	Calcrl
Adm	Gpr20
Adm	Gpr84
Serpinf1	Plxdc2
Snca	Lag3
Col15a1	Itga10_Itgb1
Col15a1	Itga2_Itgb1
Col15a1	Itga1_Itgb1
Col15a1	Itga11_Itgb1
Gdnf	Gfra2_Ret
Gdnf	Gfra1_Ret
Gdnf	Ednrb
Thpo	Mpl
Il15	Il15ra_Il2rb_Il2rg
Il15	Il2ra
Lep	Lepr
Lep	Lrp2
Wnt5a	Fzd9
Wnt5a	Fzd6
