CD4Tconv	Fibroblasts	Malignant	DC
CTSF	-0.3	0.42	0.61	-0.33
LAMTOR1	-0.3	0.31	0.49	0
PLPP2	-0.3	-0.3	0.82	-0.3
NPDC1	-0.3	-0.32	-0.45	-0.54
AKAP12	-0.3	0.71	0	0
MAP3K13	-0.31	0	0.74	0
CDH11	-0.31	1.05	-0.26	-0.28
RAB25	-0.31	-0.3	1.2	-0.28
PKP1	-0.31	-0.3	0.89	-0.28
GABARAP	-0.31	0.5	-0.43	0.37
ELN	-0.31	1.11	-0.26	-0.28
TGM2	-0.31	0.46	-0.28	0
ISOC2	-0.31	0.33	0.32	0
CREB5	-0.31	0.37	0	0
GLT8D2	-0.31	0.97	-0.29	-0.28
PODN	-0.31	0.26	-0.29	-0.28
PTK2	-0.31	0.27	0.3	0
RAB32	-0.31	0.32	0	0
COX6A1	-0.31	-0.35	0.41	0
MRPS24	-0.31	0.41	0.28	-0.32
SOX15	-0.32	-0.28	0.74	-0.28
PTGR1	-0.32	-0.26	0.46	0
GOLIM4	-0.32	0.3	0.32	0
GGT5	-0.32	0.75	-0.29	-0.25
ITGB1	-0.32	0.82	-0.37	-0.57
ADAM15	-0.32	-0.31	0.27	0
GCSH	-0.32	0	0.38	0
PDLIM5	-0.32	0.33	0.46	0
ARL2	-0.32	0.28	0	0
QSOX1	-0.32	0.82	-0.26	0
ATP5G1	-0.32	0	0.31	0
LAMC1	-0.32	0.29	0.47	-0.28
NRP2	-0.32	0.4	-0.26	0.42
PCBD1	-0.32	0.34	0.35	0
CES1	-0.32	0.29	1.12	0
PARVA	-0.32	0.79	0	-0.3
EHD2	-0.32	0.43	0	-0.28
NFIA	-0.32	1.1	0	-0.33
IRF6	-0.32	-0.32	1	-0.29
JAG1	-0.32	0.4	0.45	0
TKT	-0.33	-0.3	0.33	0
MRPL51	-0.33	-0.29	0.47	-0.32
PPIA	-0.33	0.31	0.27	0
MYO1B	-0.33	0.34	0.49	-0.27
CHMP4B	-0.33	0.33	0.64	0
TSPAN13	-0.33	-0.32	0.26	0.27
TRIP6	-0.33	0.33	0.28	0
FGF7	-0.33	0.36	-0.31	0
LMCD1	-0.33	0.8	-0.36	-0.28
TMEM98	-0.33	0.65	0.57	-0.3
TPBG	-0.33	0.59	0.25	-0.29
ATOX1	-0.33	0.46	-0.37	0.43
SERPINB6	-0.33	0.25	0.29	0
HLA-DMB	-0.33	-0.44	-0.34	0.78
TCF21	-0.33	0.34	-0.31	-0.3
PHGDH	-0.33	-0.31	0.9	-0.29
NDUFB9	-0.33	-0.53	0.41	-0.5
RANBP1	-0.33	-0.31	0.42	-0.35
SLC2A1	-0.33	-0.31	1.26	0
CHPF	-0.33	0.94	0	-0.37
ALDH1A1	-0.33	-0.26	0.34	-0.29
VGLL4	-0.33	0.5	0.47	-0.35
SLC9A3R2	-0.33	0.98	-0.26	-0.3
PTPRK	-0.33	0.36	0.3	-0.3
MT-ND2	-0.33	0.42	0.53	0
EGFL7	-0.34	1.63	0	-0.3
LAMC2	-0.34	-0.32	0.66	-0.31
MGLL	-0.34	0.27	0.58	0.53
HEBP1	-0.34	0.39	0.26	0
LAMB1	-0.34	0.56	-0.26	-0.31
GPRC5A	-0.34	0.37	0.78	-0.28
IFI30	-0.34	-0.26	-0.26	0.99
TUBB3	-0.34	0.48	0.33	0
PLOD1	-0.34	0.65	0.32	0
SSR3	-0.34	0.6	0.27	0
PDCD5	-0.34	0.32	0.31	0
SPRY1	-0.34	0.78	-0.38	-0.39
CRISPLD2	-0.34	0.55	-0.29	-0.32
DAD1	-0.34	0.54	0	-0.44
FAP	-0.34	1.26	-0.31	-0.31
TYMS	-0.34	-0.28	-0.29	-0.3
ANGPTL2	-0.35	0.92	-0.3	-0.32
GPX4	-0.35	0.27	0.27	0.62
HMGB3	-0.35	-0.27	0.32	0
TXNDC17	-0.35	-0.39	0.52	-0.34
AKR1A1	-0.35	0.29	0.27	0
F11R	-0.35	-0.44	1.04	0
CDKN2A	-0.35	-0.4	1.18	-0.48
FKBP9	-0.35	0.53	0.26	-0.31
SPTBN1	-0.35	0.94	-0.29	-0.63
COL14A1	-0.35	1.03	-0.32	-0.32
TIMM13	-0.35	0	0.28	0
DUSP6	-0.35	0.61	0.94	-0.29
BRI3	-0.35	0.35	0	0
ABCA1	-0.35	0.25	-0.33	0
MPZL1	-0.35	0.44	0.25	0
CTNND1	-0.35	0.32	0.7	0
NET1	-0.36	0	0.66	0
SRPX	-0.36	0.91	-0.32	-0.33
CSRP1	-0.36	0.43	0.99	0
TCEAL4	-0.36	0.38	0	-0.26
LOXL2	-0.36	1.09	-0.32	-0.32
BSG	-0.36	0.39	0.3	-0.43
SNX3	-0.36	0.28	0	0.35
LAMB3	-0.36	-0.32	0.77	-0.26
PLOD2	-0.36	0.9	0.3	-0.32
ATP6V0B	-0.36	-0.33	0.35	0.34
YWHAE	-0.36	0.31	0.26	0
SERINC2	-0.36	0.43	0.82	-0.29
GNG5	-0.36	-0.29	-0.41	0.64
LMO4	-0.36	0.26	0.26	-0.32
ZNF503	-0.36	0.62	0.3	0
DAB2	-0.36	0.52	-0.32	0
CLTA	-0.36	0.3	0.33	0
AP2M1	-0.36	0.29	0.28	-0.31
MMP19	-0.36	0.36	-0.34	0
HMGN3	-0.36	0.4	0.26	0
MAP1B	-0.36	0.34	-0.3	-0.33
HTRA3	-0.36	0.79	-0.34	-0.31
CALR	-0.37	0.34	0.29	0
ASS1	-0.37	0.31	0.44	-0.33
PPIF	-0.37	-0.48	-0.41	0.91
GAS6	-0.37	0.61	-0.27	0
STEAP1	-0.37	0.95	0	-0.32
FAM213A	-0.37	0.51	0.44	-0.31
TRIM29	-0.37	-0.35	1.04	-0.34
DUSP23	-0.37	-0.26	1.2	0
RAI14	-0.37	0.58	0	-0.3
PRRX1	-0.37	1.09	-0.33	-0.34
ZNF385A	-0.37	-0.28	0.4	0
FHL1	-0.37	1.24	-0.44	-0.38
UCHL1	-0.37	0.54	0.71	-0.34
BASP1	-0.37	0.28	-0.35	0.81
CLDN1	-0.37	-0.36	1.14	0
CYBRD1	-0.37	0.26	-0.31	0
IRF8	-0.37	-0.41	-0.41	0.87
CHCHD10	-0.37	-0.63	0.29	-0.28
DPYSL3	-0.37	0.62	0	-0.34
ANAPC11	-0.37	0.28	0.33	0
C8orf4	-0.37	0.34	0.55	-0.34
NFKBIZ	-0.37	0.47	0.31	0
LEPROT	-0.37	0.52	-0.25	-0.35
FAM127B	-0.37	0.32	0.26	-0.3
ARPC1A	-0.37	0.51	0.69	-0.46
CKB	-0.37	-0.33	0.65	0
UGDH	-0.37	0.3	0	-0.31
PRDX6	-0.37	0.26	0.37	0
YBX1	-0.38	-0.34	0.59	0
TALDO1	-0.38	0	0.41	0
CALCRL	-0.38	-0.34	-0.29	0.42
DBN1	-0.38	0.39	0	-0.28
SPTSSA	-0.38	0.42	0.36	-0.27
PLXDC2	-0.38	0.66	-0.33	0
TUSC3	-0.38	0.29	0.39	-0.35
MYO1E	-0.38	0	0.45	0
MXRA5	-0.38	1.24	-0.33	-0.35
ACTG1	-0.38	0.44	0.45	0.28
RHOBTB3	-0.38	0.9	0	-0.32
MLF2	-0.38	0.31	0.27	0
MEG3	-0.38	0.68	-0.31	-0.35
CD81	-0.38	0.29	-0.28	-0.28
CAV2	-0.38	0.83	0.27	-0.35
NUCKS1	-0.39	0.33	0.9	-0.32
ASAH1	-0.39	-0.37	0.57	0
OSTC	-0.39	0.95	0.26	0
CRTAP	-0.39	0.78	-0.49	-0.36
TRIB1	-0.39	0.36	0.69	0
SHFM1	-0.39	-0.36	0.58	-0.34
ENO1	-0.39	-0.75	0.41	0
DKK3	-0.39	0.83	-0.44	-0.51
ANXA4	-0.39	0.41	0.27	0
FNDC3B	-0.39	0.33	0.51	0
PDGFRB	-0.39	0.98	-0.36	-0.3
NFIC	-0.39	0.57	0	-0.31
SMIM14	-0.39	0.31	0.37	0
HLA-DQA2	-0.39	-0.55	-0.52	1.34
THBD	-0.39	-0.35	-0.31	0
AHCY	-0.39	0	0.29	-0.31
NENF	-0.39	0.27	0.25	-0.27
PEA15	-0.39	0.32	-0.29	0.8
SWAP70	-0.39	0.31	0	0
C19orf33	-0.39	-0.38	1.06	-0.32
PPP1R15A	-0.39	0.26	0.45	0
SSPN	-0.4	0.52	-0.29	-0.31
ATP1B3	-0.4	-0.45	0.33	0
PRELP	-0.4	1.06	0	0
PLAT	-0.4	0.54	0.33	-0.35
PKM	-0.4	0.34	0.26	0
CKAP4	-0.4	0.67	1.05	-0.4
EPAS1	-0.4	0.69	-0.4	-0.44
GSTO1	-0.4	0.36	-0.44	0
CTNNA1	-0.4	0.47	0.41	0
PTTG1IP	-0.4	0.59	0.31	0
CDK4	-0.4	0.35	0.26	-0.34
TSPO	-0.4	-0.29	0.43	-0.29
SEC61G	-0.4	0.27	0.76	0
HYAL2	-0.4	1.46	0	-0.34
PLK2	-0.4	0.46	0.48	-0.32
NFIB	-0.4	0.54	-0.27	-0.37
FKBP2	-0.4	0.43	0.35	0
PDLIM7	-0.4	0.74	-0.36	0
BANF1	-0.4	0.28	0.33	0
GJA1	-0.4	0.72	-0.34	-0.37
ODF3B	-0.4	-0.45	0.32	0.79
FOSL1	-0.41	-0.3	0.82	0
PKIG	-0.41	0.59	-0.4	-0.38
SCARB2	-0.41	0.62	0	-0.33
CYC1	-0.41	0	0.31	0
RP11-14N7	-0.41	0.3	-0.29	-0.38
LY6E	-0.41	0.33	0.45	-0.8
DBI	-0.41	-0.32	0.66	0.45
BST2	-0.41	0.3	0.26	-0.35
PLS3	-0.41	0.32	0.58	-0.33
CDC42EP1	-0.41	0.49	0.43	-0.3
NREP	-0.41	1.01	-0.35	-0.27
CD40	-0.41	0.26	-0.28	0.95
PGD	-0.41	-0.34	0.83	0
ITGA6	-0.41	-0.52	0.45	-0.48
ALDOA	-0.42	-0.3	0.71	0
FLOT1	-0.42	0.39	0.37	0.3
TAX1BP3	-0.42	0.6	0.37	0
HCFC1R1	-0.42	0.76	-0.31	-0.34
CKS1B	-0.42	-0.4	0.74	-0.37
RBPMS	-0.42	0.61	0.38	-0.33
PRCP	-0.42	0.75	-0.27	0
SDC2	-0.42	0.53	-0.36	0
PTHLH	-0.42	-0.4	0.33	-0.4
RNF130	-0.42	0.33	-0.29	0.28
TNFSF10	-0.42	0.4	0.49	-0.43
TGFB1I1	-0.42	0.97	-0.36	-0.38
ABL2	-0.42	0.35	-0.25	0
TMEM14C	-0.42	0.54	0	0
NME4	-0.42	0.61	0.54	0
HBEGF	-0.42	-0.34	0.75	0
NDRG1	-0.42	-0.33	1.13	-0.48
FAM3C	-0.43	-0.37	0.31	-0.41
FKBP1A	-0.43	-0.32	-0.38	0
PGRMC1	-0.43	0.44	0.57	-0.47
NME1	-0.43	-0.37	0.37	-0.25
RTEL1-TNFRSF6B	-0.43	0.61	-0.26	-0.34
PSMB5	-0.43	0.3	0.26	-0.37
TUBA1C	-0.43	-0.39	0.53	0
VAT1	-0.43	0.38	-0.3	-0.41
WWTR1	-0.43	0.42	0.61	-0.43
MAFF	-0.43	0.32	0.51	0.35
CLDN7	-0.43	-0.41	1.68	-0.38
LGMN	-0.44	0.27	0	0.25
JUN	-0.44	0.36	0.56	-0.72
HSPB8	-0.44	0.59	0.31	-0.4
C9orf3	-0.44	0.42	0.29	-0.41
TNFAIP2	-0.44	0.39	0.42	0.58
RTN4	-0.44	0.26	0	0
TNFRSF1A	-0.44	0.45	0	0
ADAMTS1	-0.44	0.52	-0.32	-0.41
CPE	-0.44	0.31	-0.34	-0.42
RAB34	-0.44	0.58	0.46	0
COL15A1	-0.44	0.48	-0.41	-0.41
CLEC11A	-0.44	1.06	-0.27	-0.3
LYN	-0.44	-0.36	-0.4	0.57
MEF2C	-0.44	-0.27	-0.42	0
HOPX	-0.44	0.33	-0.63	-0.53
SPI1	-0.45	-0.44	-0.42	1.32
MYLK	-0.45	0.55	1	-0.4
ATP5G3	-0.45	-0.3	0.3	0
SERPINB5	-0.45	-0.43	1.23	-0.41
HDLBP	-0.45	0.65	0	0
RASD1	-0.45	0.36	0.36	-0.3
PDIA6	-0.45	0.3	0.84	-0.33
APLP2	-0.45	0.7	0.29	0
FAM114A1	-0.45	0.89	0	-0.37
EIF4EBP1	-0.45	-0.36	0.49	0
MYDGF	-0.45	0.7	0	0
C10orf10	-0.45	0.25	0.27	-0.32
NCOA7	-0.46	-0.55	0.54	-0.45
KLF10	-0.46	0.58	0.29	0
BACE2	-0.46	0.95	0.5	-0.41
FAM127A	-0.46	0.77	-0.37	-0.3
LAMA4	-0.46	0.69	-0.42	-0.43
LTBP4	-0.46	1.32	-0.46	-0.52
CTSH	-0.46	-0.28	-0.3	0.97
PPFIBP1	-0.46	0.6	0.3	-0.37
IFNGR2	-0.47	0.26	0.27	0.52
CAPG	-0.47	-0.44	-0.66	0.63
ASPH	-0.47	0.35	0.25	-0.31
MGST3	-0.47	0.61	-0.29	-0.26
CBR1	-0.47	-0.43	0.64	-0.45
RCAN1	-0.47	0.82	-0.31	-0.38
PRDX5	-0.47	0.31	0.43	-0.39
FHL2	-0.47	0.58	0.55	-0.4
PLSCR1	-0.47	0.46	0.37	0.4
CTSZ	-0.47	0.77	-0.42	0.8
TNC	-0.48	1.01	0.27	-0.44
CREG1	-0.48	0.4	0.37	0
CD34	-0.48	-0.46	-0.44	-0.44
DDAH2	-0.48	0.6	-0.32	0.34
BLVRB	-0.48	-0.38	0.69	0
TYMP	-0.48	-0.41	0.29	0.85
GJB2	-0.48	0.75	1.17	-0.36
COL18A1	-0.49	0.57	-0.46	-0.5
SPHK1	-0.49	0.91	0.4	0
EFEMP2	-0.49	1.16	-0.45	-0.45
CERCAM	-0.49	1.3	-0.36	-0.42
FILIP1L	-0.49	0.96	-0.47	0
LHFP	-0.49	0.43	-0.49	-0.47
FOSB	-0.49	0.29	0.3	0
GEM	-0.49	0.82	-1.09	-0.48
COMT	-0.49	0.53	0.33	0
GREM1	-0.5	1.6	-0.47	0
WARS	-0.5	0.59	0.38	0.46
ALDH3A1	-0.5	-0.49	1.18	-0.46
ECM1	-0.5	0.82	0.62	-0.44
PLD3	-0.5	0.36	0.28	-0.36
RCN3	-0.5	1.51	-0.44	-0.43
KDELR2	-0.5	0.92	0.26	-0.38
FKBP10	-0.5	1.24	-0.39	-0.46
NQO1	-0.51	-0.25	0.92	-0.47
PTGS2	-0.51	-0.25	-0.35	0
CSRP2	-0.51	0.48	0.62	-0.34
EPCAM	-0.51	-0.5	0.58	-0.45
MARCKSL1	-0.51	-0.55	0.27	0.99
KDELR1	-0.51	0.74	0.49	-0.39
HLA-DMA	-0.51	-0.94	-0.66	1.05
LTBR	-0.52	0.38	0.5	0
PFN2	-0.52	0.29	0.35	-0.49
AP2S1	-0.52	0.45	-0.26	0
CEBPB	-0.52	0.5	0.47	0
VCAM1	-0.52	0.38	-0.54	-0.47
WBP5	-0.52	0.75	0	-0.41
TSPAN3	-0.53	0.32	0.39	0
TSPAN4	-0.53	0.78	-0.49	-0.35
MT-ND4	-0.53	-0.31	0.42	0
IER2	-0.53	0.95	0.29	-0.33
GAPDH	-0.53	-0.84	0.25	0
SCPEP1	-0.53	0.62	0.6	-0.31
ANTXR1	-0.53	1.58	-0.45	-0.48
TUBA1B	-0.53	0.38	-0.8	0.37
LRP1	-0.53	0.78	-0.32	-0.4
IFI6	-0.54	0.27	-1.29	-0.61
TUBB6	-0.54	0.41	-0.28	0
CRABP2	-0.54	0.81	0.73	-0.48
CYB5R3	-0.54	0.58	-0.28	0
EFNA1	-0.54	-0.52	0.89	-0.5
S100A10	-0.54	0.44	0.63	0.29
HSBP1	-0.54	0.28	0.53	-0.26
AKR1C3	-0.55	-0.51	0.65	-0.52
THBS2	-0.55	1.65	-0.51	-0.51
OLFML3	-0.55	0.92	-0.52	-0.5
HMOX1	-0.55	0.29	-0.32	0.3
TFPI	-0.56	0.99	-0.41	-0.39
RRBP1	-0.56	0.88	0.4	0
MYC	-0.56	-0.57	0.38	-0.77
C11orf96	-0.56	1.01	-0.43	-0.5
GRINA	-0.57	0	0.78	0.9
PVRL2	-0.57	0.35	0.57	0.39
CLIC4	-0.57	0.64	0.25	0
TPI1	-0.58	-0.39	0.38	0
KLF5	-0.58	-0.46	1.5	-0.54
PPIB	-0.58	1.08	-0.34	-0.25
SDC1	-0.58	0.62	1.17	-0.51
PDLIM4	-0.58	0.63	0.41	-0.48
MIF	-0.59	-0.39	0.28	-0.47
GSTM1	-0.59	-0.42	0.97	-0.54
RBP1	-0.59	0.29	0.38	-0.54
CD248	-0.6	0.75	-0.57	-0.56
RCN1	-0.6	0.96	-0.26	-0.33
PRDX4	-0.6	0.78	-0.29	-0.52
CTTN	-0.6	0.35	1	-0.56
TGFBI	-0.6	0.68	-0.38	0
PRDX1	-0.6	-0.29	0.98	-0.41
SOX4	-0.6	0.43	0.26	0
COL8A1	-0.6	1.45	-0.56	-0.56
FBN1	-0.6	0.68	-0.56	-0.55
PECAM1	-0.61	-0.67	-0.65	0
ALDH2	-0.61	0.69	0.32	1.21
PLPP1	-0.61	1	-0.55	-0.36
SGK1	-0.61	-0.26	0.78	0.52
COL5A1	-0.61	1.84	-0.59	-0.57
IGF2	-0.61	1.19	-0.41	-0.57
DPT	-0.62	1.87	-0.58	-0.57
PALLD	-0.62	1.18	0.4	-0.25
RHOC	-0.62	0.67	-0.32	0
NBL1	-0.62	1.39	-0.4	-0.68
SULF1	-0.63	1.65	-0.53	-0.58
GPX3	-0.63	-0.56	-0.4	0
SERPINE2	-0.63	1.92	-0.48	-0.62
SEPP1	-0.63	0.86	0.35	-0.51
PHLDA2	-0.63	0.32	1.18	0
CD14	-0.63	-0.58	0.32	-0.29
UBD	-0.64	0.75	0.73	0.26
NGFRAP1	-0.64	0.59	0.45	-0.83
CALU	-0.64	1.29	-0.38	-0.6
PDPN	-0.64	1.48	-0.49	-0.58
CFH	-0.65	0.4	-0.46	-0.62
DST	-0.65	0.34	0.35	-0.41
P4HB	-0.65	0.86	0.6	-0.39
ACTN1	-0.65	0.85	-0.29	0
EPHX1	-0.65	0.91	0.46	-0.58
MFGE8	-0.65	0.94	-0.51	-0.66
TPM4	-0.66	1	-0.49	0
INHBA	-0.66	1.36	-0.46	0
PLPP3	-0.66	1.01	-0.47	-0.57
GNG11	-0.67	0.67	-0.62	-0.55
TUBB	-0.67	0.37	-0.49	0
RARRES1	-0.67	0.33	-0.36	-0.62
MGST1	-0.67	-0.34	0.72	-0.56
HES1	-0.67	0.9	0.96	-0.6
LGALS7	-0.68	-0.64	0.86	-0.63
CXCL12	-0.68	0.34	-0.63	-0.63
CTSL	-0.69	0.29	-0.86	-0.68
HSPG2	-0.69	0.92	-0.38	-0.62
ENG	-0.7	0.85	-0.71	-0.3
CTSD	-0.7	-0.31	0.29	-0.5
PPIC	-0.7	1.21	-0.39	-0.61
PRKCDBP	-0.7	1	-0.64	-0.61
HSP90B1	-0.7	0.38	0.97	0
GSTM3	-0.7	-0.27	0.69	-0.7
JUP	-0.7	-0.48	1.41	-0.53
RND3	-0.7	0.71	0.92	-0.64
RGS16	-0.71	0.89	-0.69	-0.54
H1F0	-0.71	0.28	0.48	-0.43
LGALS7B	-0.71	-0.68	1.14	-0.66
YBX3	-0.71	0.35	0.47	0
TNFRSF12A	-0.71	1.09	0.29	-0.57
FBLN2	-0.72	0.63	-0.66	-0.65
ETS2	-0.72	-0.26	0.62	0
FCGRT	-0.72	0.56	-0.45	0
GADD45B	-0.72	0.81	-0.65	0.38
MXRA8	-0.73	1.61	-0.67	-0.67
LAPTM4A	-0.74	0.89	-0.28	-0.56
LGALS3	-0.74	0.32	0.79	-0.25
IGFBP3	-0.74	0.74	0.91	-0.76
ADM	-0.74	0.83	0.54	-0.44
LGALS3BP	-0.75	0.84	0.44	-0.77
IL1RN	-0.75	-0.76	0.73	0.6
ANXA5	-0.75	0.77	-0.9	0
BCAM	-0.75	-0.69	-0.37	-0.69
RAC1	-0.75	0.33	0.99	0
CD24	-0.75	-0.68	1.79	-0.69
EMP2	-0.75	0.38	0.7	-0.6
DSP	-0.76	-0.71	1.44	-0.68
ADIRF	-0.76	-0.56	0.39	-0.67
COL12A1	-0.76	1.94	-0.67	-0.71
RAMP2	-0.76	-0.71	-0.64	-0.7
PLAC9	-0.76	1.45	-0.71	-0.71
TIMP2	-0.76	1.39	-0.64	-0.55
NR4A1	-0.77	0.83	-0.37	0
TNFAIP6	-0.77	1.13	-0.68	-0.58
SERPINH1	-0.77	1.56	-1.14	-1.01
NDUFA4L2	-0.77	-0.72	0.96	-0.72
MAFB	-0.77	0.91	0.37	-0.31
SELM	-0.78	1.53	-0.76	-1.06
FSCN1	-0.78	-0.38	0.4	1.68
MARCKS	-0.78	0.86	0.3	0.39
C1R	-0.79	0.94	-0.61	-0.74
CD59	-0.79	0.32	0.47	-0.55
CRIP2	-0.79	0.37	0.61	-0.85
AKR1C2	-0.79	-0.75	1.34	-0.74
SPINT2	-0.8	-1.02	1.28	0.45
CSTA	-0.8	-0.73	2.33	0.4
COL5A2	-0.8	2.01	-0.66	-0.74
CD151	-0.8	0.64	0.67	-0.59
PLTP	-0.81	0.3	-0.29	-0.66
PLAU	-0.81	1.4	0.48	0
RAB31	-0.81	1.23	-0.31	0.34
CD68	-0.81	-0.29	-0.48	0.32
GPX2	-0.82	-0.8	1.07	-0.76
COL4A1	-0.82	-0.26	-0.76	-0.76
PDLIM3	-0.82	1.51	-0.69	-0.77
S100A13	-0.83	0.64	0.55	-0.64
TCF4	-0.83	0.59	-0.59	-0.41
COL4A2	-0.83	0.52	-0.76	-0.77
TMEM176A	-0.83	1.1	-0.76	0.64
STMN1	-0.84	-0.45	-0.32	-0.4
HTRA1	-0.84	1.39	-0.7	-0.78
IGFBP2	-0.84	-0.8	0.59	-0.81
HLA-DQB1	-0.84	-1.45	-1.15	2.02
CD79A	-0.85	-1	-0.95	-0.8
CNN3	-0.85	1.06	0.35	-0.74
CAV1	-0.85	0.41	-0.51	-0.86
MMP14	-0.85	1.8	-0.35	-0.59
KRT18	-0.86	-0.79	1.3	-0.8
HLA-DRB5	-0.86	-1.75	-1.34	1.74
RAB13	-0.86	0.57	0.27	-0.39
EFEMP1	-0.87	1.37	-0.64	-0.81
FSTL1	-0.87	0.96	-0.75	-0.81
MFAP5	-0.87	0.39	-0.79	-0.81
PTRF	-0.88	0.82	-0.41	-0.81
C3	-0.88	1.76	-0.74	-0.78
PSAP	-0.89	0.28	-0.54	0
AKR1C1	-0.89	-0.71	0.88	-0.84
PMP22	-0.9	0.8	-0.78	-0.61
TXN	-0.91	-0.42	0.8	1.92
GPNMB	-0.91	0.37	-0.33	-0.7
PRSS23	-0.91	0.87	-0.62	-0.85
DSTN	-0.92	0.62	0.53	-0.78
CCND1	-0.92	-0.32	0.92	-0.47
CSTB	-0.92	-0.89	2.31	0
MFAP2	-0.92	1.97	-0.43	-0.86
ISLR	-0.93	1.8	-0.87	-0.87
NME2	-0.93	0.39	0.58	0
AEBP1	-0.93	2.03	-0.87	-0.87
SPON2	-0.93	1.86	-0.86	-0.93
TMEM176B	-0.93	1.1	-0.87	0.37
NUPR1	-0.93	0.63	0.68	-0.81
FXYD3	-0.94	-0.9	1.29	-0.87
ELF3	-0.94	-0.91	2.29	-0.88
ID1	-0.94	0.47	1.05	-0.9
ICAM1	-0.95	0.61	-0.67	0.38
EMP1	-0.95	0.41	0.84	-0.72
RNASE1	-0.96	-0.94	-0.37	0
THBS1	-0.96	0.67	-0.86	-0.6
MDK	-0.96	0.93	0.47	-0.87
TSC22D1	-0.97	0.67	0.55	-0.86
ID3	-0.97	1.12	-1.02	-1.14
SERPINE1	-0.97	0.46	-0.68	-0.89
CRYAB	-0.97	2.17	0.66	-0.91
KRT6B	-0.98	-0.94	2.1	-0.91
LY6D	-0.98	-0.94	1.6	0
RHOB	-0.98	0.28	0.44	-0.89
VCAN	-0.99	1.81	-0.92	-0.8
KRT8	-1	-0.91	1.43	-0.91
NEAT1	-1	0.47	1.25	0
GRN	-1	0.43	0.32	0.59
PTMS	-1.01	0.4	0.46	0
S100A14	-1.02	-0.99	1.53	-0.93
CALML3	-1.03	-0.99	1.58	-0.96
HLA-DQA1	-1.03	-1.79	-1.57	2.1
NPC2	-1.03	0.31	0.38	0
GLUL	-1.04	-0.41	1.24	0
PCOLCE	-1.04	1.81	-0.96	-0.97
KLF4	-1.04	-0.31	0.74	0
S100A6	-1.04	0.73	0.74	-0.36
SOD3	-1.05	-0.38	-0.98	-0.98
S100A16	-1.05	0.25	1.35	-0.98
C1QB	-1.06	-0.91	-0.3	0
C15orf48	-1.07	-0.89	0.94	1.86
TPM1	-1.07	1.72	-0.72	-0.97
FOS	-1.08	0.77	0.49	-0.82
APP	-1.09	0.54	0.68	-0.61
PDLIM1	-1.1	1.02	0.4	-0.85
CLDN4	-1.1	-1.08	2.56	-1.03
FCER1G	-1.11	-1.11	-1.11	0.76
G0S2	-1.11	-0.66	-1.2	1.54
HLA-DRB1	-1.13	-2.55	-1.8	1.98
APOE	-1.13	-0.35	-0.92	0
S100A11	-1.13	0.33	1.3	0
THY1	-1.14	2.06	-1.07	-1.07
CEBPD	-1.15	0.98	0.59	0
ATF3	-1.16	0.43	0.69	0
CTSB	-1.17	0.4	-0.34	0
NNMT	-1.18	1.49	-1.09	-1.11
COL6A3	-1.18	2.32	-1.14	-1.12
CXCL14	-1.19	-0.27	1.01	-1.09
CCDC80	-1.19	0.53	-0.84	-1.12
HSPB1	-1.19	0.38	1.31	-0.44
SOD2	-1.19	0.45	-0.71	0.27
A2M	-1.2	-0.44	-1.14	-0.95
FTL	-1.21	0.3	-1.02	0
TPM2	-1.21	2.1	-1.01	-1.01
CTGF	-1.22	1.72	-1.09	-1.06
PLAUR	-1.23	-0.63	0.32	0.38
CXCL3	-1.23	-0.76	-0.84	0
TYROBP	-1.24	-1.35	-1.3	1.41
KRT16	-1.27	-1.21	2.56	-1.2
SLPI	-1.27	-1.24	1.93	-1.2
ANXA2	-1.27	0.52	0.81	0
POSTN	-1.28	2.71	-1.21	-1.21
IGFBP5	-1.3	0.88	-1.02	-1.21
CXCL1	-1.33	1.31	0.36	-1.08
KRT15	-1.34	-1.3	1.28	-1.26
MMP2	-1.34	2.08	-1.26	-1.26
COL6A1	-1.36	2.29	-1.26	-1.25
CTHRC1	-1.37	2.82	-1.16	-1.3
SERPINF1	-1.39	1.4	-1.22	-0.65
MMP11	-1.39	3.09	-1.3	-1.31
FABP5	-1.42	-1.78	1.76	0
C1S	-1.43	1.33	-1.13	-1.35
MYL9	-1.44	1.78	-1.04	-1.19
PERP	-1.45	-0.87	1.94	-1.81
CTSK	-1.45	2.53	-1.38	-0.67
CLU	-1.46	-0.88	-0.58	-1.36
CCL2	-1.46	0.57	-1.39	-1.21
TM4SF1	-1.48	-1.12	1.47	-1.36
TACSTD2	-1.48	-1.43	2.67	-0.97
COL6A2	-1.51	2.11	-1.42	-1.38
CD63	-1.52	1.25	-0.43	-0.43
LGALS1	-1.53	1.83	-1.98	0
MFAP4	-1.53	0.39	-1.46	-1.45
IGFBP4	-1.55	1.15	-1.17	-1.62
EGR1	-1.55	0.63	0.27	-1.27
TIMP3	-1.55	1.06	-0.98	-1.46
CYR61	-1.56	1.47	-0.85	-1.48
CCL3	-1.58	-1.43	-1.58	-0.36
SERPING1	-1.59	1.16	-1.31	-1.35
RARRES2	-1.59	2.56	-1.51	-1.48
CALD1	-1.61	2.03	-1.35	-1.52
TAGLN	-1.62	2.31	-1.46	-1.53
SFN	-1.64	-1.58	1.94	-1.55
SPARCL1	-1.64	-0.36	-1.54	-1.56
CXCL2	-1.66	0.35	-1.2	0
