CD4Tconv	Fibroblasts	Mono/Macro	Malignant	Plasma	Pericytes	CD8Tex	DC	Tprolif	B	Mast	Endothelial	Treg
MYC	-0.56	-0.57	-0.79	0.38	-0.75	0	-0.56	-0.77	-0.59	-0.59	0	0	-0.67
C11orf96	-0.56	1.01	-0.49	-0.43	-0.53	1.34	-0.52	-0.5	-0.53	-0.53	-0.52	0	-0.54
GRINA	-0.57	0	0.93	0.78	-0.79	0	-0.48	0.9	-0.66	-0.52	-0.35	0	0
PVRL2	-0.57	0.35	0.44	0.57	-0.54	0.47	-0.52	0.39	-0.52	-0.53	0	0.76	-0.54
CLIC4	-0.57	0.64	0	0.25	0	0.45	-0.5	0	-0.49	0.55	0	0.57	-0.5
TPI1	-0.58	-0.39	0.29	0.38	-1.58	0	0.5	0	0.4	-0.93	0	-0.5	0
KLF5	-0.58	-0.46	-0.57	1.5	-0.58	-0.49	-0.56	-0.54	-0.55	-0.53	-0.57	-0.56	-0.59
PPIB	-0.58	1.08	-0.44	-0.34	-0.31	0.46	-0.3	-0.25	-0.36	-0.29	0	0.27	-0.37
SDC1	-0.58	0.62	-0.54	1.17	0.29	-0.46	-0.53	-0.51	-0.53	-0.44	-0.53	-0.54	-0.55
PDLIM4	-0.58	0.63	-0.43	0.41	-0.57	-0.3	-0.35	-0.48	0	-0.57	-0.43	0.27	-0.53
MIF	-0.59	-0.39	-0.44	0.28	-0.99	0	-0.34	-0.47	0	-0.31	-0.61	-0.42	-0.34
GSTM1	-0.59	-0.42	-0.55	0.97	-0.55	-0.3	-0.54	-0.54	-0.54	-0.54	-0.54	-0.45	-0.56
RBP1	-0.59	0.29	-0.4	0.38	-0.55	0	-0.54	-0.54	-0.54	-0.55	-0.54	-0.31	-0.56
CD248	-0.6	0.75	-0.57	-0.57	-0.57	1.14	-0.55	-0.56	-0.55	-0.53	-0.56	-0.54	-0.57
RCN1	-0.6	0.96	-0.41	-0.26	-0.47	0.36	-0.39	-0.33	-0.48	-0.57	-0.38	0.44	-0.51
PRDX4	-0.6	0.78	-0.38	-0.29	0.97	0	-0.36	-0.52	-0.5	-0.56	-0.36	0	-0.41
CTTN	-0.6	0.35	-0.57	1	-0.56	0	-0.55	-0.56	-0.55	-0.54	-0.57	0	-0.57
TGFBI	-0.6	0.68	1.41	-0.38	-0.58	0.34	-0.55	0	-0.56	-0.58	-0.58	-0.34	-0.58
PRDX1	-0.6	-0.29	-0.37	0.98	-1.05	0	-0.38	-0.41	-0.56	-0.53	0	0	-0.3
SOX4	-0.6	0.43	-0.79	0.26	-1.09	0	0	0	0	-0.95	-0.56	0.45	0
COL8A1	-0.6	1.45	-0.57	-0.56	-0.56	-0.26	-0.56	-0.56	-0.56	-0.56	-0.56	-0.53	-0.57
FBN1	-0.6	0.68	-0.57	-0.56	-0.56	0	-0.56	-0.55	-0.56	-0.55	-0.55	0	-0.57
PECAM1	-0.61	-0.67	-0.33	-0.65	0	-0.63	-0.47	0	0	-0.56	-0.62	1.66	-0.62
ALDH2	-0.61	0.69	0.64	0.32	-0.48	-0.26	-0.56	1.21	-0.55	-0.43	-0.33	0	-0.58
PLPP1	-0.61	1	-0.68	-0.55	-0.72	0.45	0.61	-0.36	0	-0.54	0.48	0.68	-0.43
SGK1	-0.61	-0.26	1.12	0.78	-0.52	-0.44	-0.38	0.52	0	-0.42	0.25	0.34	-0.81
COL5A1	-0.61	1.84	-0.6	-0.59	-0.59	0.63	-0.57	-0.57	-0.58	-0.58	-0.58	-0.48	-0.53
IGF2	-0.61	1.19	-0.58	-0.41	-0.57	0	-0.57	-0.57	-0.57	-0.57	-0.57	0.35	-0.58
DPT	-0.62	1.87	-0.58	-0.58	-0.57	-0.47	-0.57	-0.57	-0.57	-0.57	-0.57	-0.56	-0.58
PALLD	-0.62	1.18	-0.44	0.4	-0.59	0.64	-0.57	-0.25	-0.57	-0.53	0	-0.41	-0.57
RHOC	-0.62	0.67	-0.29	-0.32	-1.07	0.84	-0.33	0	-0.41	-1.05	-0.5	0.8	0
NBL1	-0.62	1.39	-0.65	-0.4	-0.71	0	-0.37	-0.68	-0.39	-0.7	-0.66	-0.37	-0.66
SULF1	-0.63	1.65	-0.59	-0.53	-0.58	0.37	-0.58	-0.58	-0.58	-0.58	-0.58	-0.48	-0.59
GPX3	-0.63	-0.56	0	-0.4	-0.58	0	-0.58	0	-0.58	-0.58	-0.57	-0.43	-0.59
SERPINE2	-0.63	1.92	-0.66	-0.48	-0.65	0	-0.53	-0.62	-0.54	-0.63	-0.59	-0.48	-0.41
SEPP1	-0.63	0.86	-0.32	0.35	-0.59	0	-0.58	-0.51	-0.58	-0.59	-0.58	0	-0.6
PHLDA2	-0.63	0.32	0.31	1.18	-0.81	0.4	-0.5	0	-0.64	-0.82	0.31	-0.57	-0.38
CD14	-0.63	-0.58	2.49	0.32	0	0	-0.62	-0.29	0	-0.61	0	-0.42	0
UBD	-0.64	0.75	-0.34	0.73	-0.6	0.32	-0.59	0.26	-0.57	-0.59	-0.58	0.26	-0.6
NGFRAP1	-0.64	0.59	-0.59	0.45	-0.94	0.41	-0.65	-0.83	-0.76	-0.85	0	0.25	0
CALU	-0.64	1.29	-0.36	-0.38	-0.37	0.75	-0.47	-0.6	-0.48	-0.55	0	0.36	-0.49
PDPN	-0.64	1.48	-0.27	-0.49	-0.6	-0.33	-0.59	-0.58	-0.59	-0.59	-0.59	-0.59	-0.61
CFH	-0.65	0.4	-0.59	-0.46	-0.63	0.42	-0.62	-0.62	-0.62	-0.63	-0.63	0	-0.64
DST	-0.65	0.34	-0.43	0.35	-0.59	0	-0.59	-0.41	-0.59	-0.59	-0.37	0	-0.62
P4HB	-0.65	0.86	0	0.6	-0.41	0.37	-0.47	-0.39	-0.28	-0.54	0	0	-0.47
ACTN1	-0.65	0.85	0	-0.29	-0.77	0.83	-0.62	0	-0.64	-0.76	-0.71	0.52	-0.68
EPHX1	-0.65	0.91	-0.33	0.46	-0.57	0.39	-0.59	-0.58	-0.6	-0.6	-0.55	0	-0.62
MFGE8	-0.65	0.94	-0.67	-0.51	-0.66	1.62	-0.47	-0.66	-0.37	-0.61	-0.62	-0.32	-0.58
TPM4	-0.66	1	0	-0.49	-1.06	0.86	-0.26	0	0	-0.62	0	0.59	-0.36
INHBA	-0.66	1.36	0.69	-0.46	-0.61	0	-0.61	0	-0.61	-0.61	-0.58	-0.54	-0.63
PLPP3	-0.66	1.01	-0.57	-0.47	-0.61	0	-0.61	-0.57	-0.61	-0.48	-0.61	0.47	-0.63
GNG11	-0.67	0.67	-0.62	-0.62	-0.62	0.36	-0.62	-0.55	-0.62	-0.59	-0.62	1.59	-0.64
TUBB	-0.67	0.37	-0.61	-0.49	-1.56	0	0.58	0	1.63	0.56	-0.47	0.54	0
RARRES1	-0.67	0.33	-0.48	-0.36	-0.63	-0.52	-0.62	-0.62	-0.62	-0.62	0	-0.56	-0.64
MGST1	-0.67	-0.34	-0.52	0.72	-0.63	-0.55	-0.6	-0.56	-0.6	-0.62	-0.62	-0.6	-0.64
HES1	-0.67	0.9	-0.35	0.96	-0.65	0.28	-0.6	-0.6	-0.59	-0.53	0	0.56	-0.62
LGALS7	-0.68	-0.64	-0.63	0.86	-0.63	-0.58	-0.61	-0.63	-0.59	-0.63	-0.63	-0.63	-0.64
CXCL12	-0.68	0.34	-0.56	-0.63	-0.63	-0.32	-0.62	-0.63	-0.63	-0.63	-0.62	0.37	-0.64
CTSL	-0.69	0.29	1.91	-0.86	-1	0	-0.84	-0.68	-0.85	-0.99	-0.85	0	-0.81
HSPG2	-0.69	0.92	-0.65	-0.38	-0.65	-0.4	-0.64	-0.62	-0.64	-0.64	-0.42	1.75	-0.66
ENG	-0.7	0.85	0	-0.71	-0.71	0	-0.61	-0.3	-0.61	-0.7	-0.44	1.74	-0.67
CTSD	-0.7	-0.31	2.03	0.29	-1.2	0	0.35	-0.5	0	-1.28	1	-0.63	-0.43
PPIC	-0.7	1.21	-0.55	-0.39	-0.65	0.31	-0.64	-0.61	-0.64	-0.65	-0.64	0.34	-0.66
PRKCDBP	-0.7	1	-0.63	-0.64	-0.71	1.28	-0.52	-0.61	-0.62	-0.71	-0.71	1.16	-0.44
HSP90B1	-0.7	0.38	-0.29	0.97	0.42	0	-0.34	0	-0.32	-0.62	0.5	0.51	-0.5
GSTM3	-0.7	-0.27	-0.68	0.69	-0.75	0	-0.71	-0.7	-0.71	-0.76	-0.64	-0.52	-0.73
JUP	-0.7	-0.48	-0.55	1.41	-0.66	-0.56	-0.64	-0.53	-0.62	-0.46	-0.39	0.37	-0.67
RND3	-0.7	0.71	-0.59	0.92	-0.66	0	-0.64	-0.64	-0.64	-0.65	-0.65	-0.48	-0.66
RGS16	-0.71	0.89	-0.63	-0.69	-0.7	1.29	-0.39	-0.54	0	0.25	0	0.38	-0.76
H1F0	-0.71	0.28	-0.29	0.48	-0.67	0.51	-0.65	-0.43	-0.64	-0.64	0	0	-0.68
LGALS7B	-0.71	-0.68	-0.66	1.14	-0.67	-0.6	-0.66	-0.66	-0.65	-0.66	-0.66	-0.67	-0.68
YBX3	-0.71	0.35	0	0.47	-0.83	0.28	-0.73	0	-0.75	-0.72	-0.65	0.35	-0.81
TNFRSF12A	-0.71	1.09	-0.57	0.29	-0.78	0	-0.63	-0.57	-0.61	-0.77	0	-0.44	-0.72
FBLN2	-0.72	0.63	-0.67	-0.66	-0.67	0	-0.66	-0.65	-0.66	-0.66	0	0	-0.68
ETS2	-0.72	-0.26	0.66	0.62	-0.82	0	-0.61	0	-0.61	-0.74	0	0.61	-0.73
FCGRT	-0.72	0.56	1.25	-0.45	-0.58	0	-0.68	0	-0.71	-0.73	-0.44	0.57	-0.72
GADD45B	-0.72	0.81	0.52	-0.65	-0.9	0.86	-0.51	0.38	-0.37	-0.46	0.64	0.47	-0.94
MXRA8	-0.73	1.61	-0.69	-0.67	-0.68	0.51	-0.67	-0.67	-0.67	-0.67	-0.67	-0.65	-0.69
LAPTM4A	-0.74	0.89	-0.67	-0.28	-1.09	0.65	-0.83	-0.56	-0.86	-0.84	0.51	0.33	-0.52
LGALS3	-0.74	0.32	0.77	0.79	-1.48	0	-0.32	-0.25	-0.63	-1.47	0	-0.43	0
IGFBP3	-0.74	0.74	-0.78	0.91	-0.77	0.98	-0.75	-0.76	-0.75	-0.76	-0.77	0.71	-0.77
ADM	-0.74	0.83	0.39	0.54	-0.62	-0.34	-0.7	-0.44	-0.7	-0.69	-0.7	-0.4	-0.72
LGALS3BP	-0.75	0.84	-0.75	0.44	-0.86	0.98	-0.77	-0.77	-0.81	-0.91	-0.8	-0.55	-0.67
IL1RN	-0.75	-0.76	1.66	0.73	-0.73	-0.72	-0.65	0.6	-0.67	-0.71	0	-0.61	0
ANXA5	-0.75	0.77	0.77	-0.9	-1.15	0.42	-0.44	0	0	-0.73	-0.71	0	-0.51
BCAM	-0.75	-0.69	-0.69	-0.37	-0.7	0.29	-0.69	-0.69	-0.69	-0.7	-0.68	0.64	-0.71
RAC1	-0.75	0.33	0.26	0.99	-1.39	0.42	-0.35	0	-0.27	-0.43	-0.39	0.51	-0.37
CD24	-0.75	-0.68	-0.71	1.79	-0.71	-0.67	-0.67	-0.69	-0.68	0	-0.7	-0.69	-0.72
EMP2	-0.75	0.38	-0.57	0.7	-0.7	0	-0.69	-0.6	-0.69	-0.7	-0.7	0.46	-0.72
DSP	-0.76	-0.71	-0.71	1.44	-0.71	-0.59	-0.67	-0.68	-0.66	-0.7	-0.7	-0.41	-0.72
ADIRF	-0.76	-0.56	-0.7	0.39	-0.71	1.72	-0.69	-0.67	-0.7	-0.7	-0.69	0.26	-0.72
COL12A1	-0.76	1.94	-0.72	-0.67	-0.71	0.44	-0.7	-0.71	-0.7	-0.7	-0.7	-0.49	-0.72
RAMP2	-0.76	-0.71	-0.72	-0.64	-0.7	-0.67	-0.71	-0.7	-0.71	-0.7	-0.7	1.81	-0.72
PLAC9	-0.76	1.45	-0.72	-0.71	-0.71	0.52	-0.71	-0.71	-0.71	-0.71	-0.71	0	-0.72
TIMP2	-0.76	1.39	0	-0.64	-0.73	0.3	-0.7	-0.55	-0.71	-0.73	-0.71	0	-0.73
NR4A1	-0.77	0.83	0	-0.37	-0.82	0.78	-0.44	0	0	0.73	0.78	0	-0.9
TNFAIP6	-0.77	1.13	0.75	-0.68	-0.73	0.92	-0.71	-0.58	-0.72	-0.72	-0.72	-0.67	-0.73
SERPINH1	-0.77	1.56	-1.04	-1.14	-1.41	1	-0.32	-1.01	0	-1.67	-0.9	0.4	-0.7
NDUFA4L2	-0.77	-0.72	-0.72	0.96	-0.71	2.27	-0.71	-0.72	-0.71	-0.7	-0.72	-0.71	-0.73
MAFB	-0.77	0.91	0.9	0.37	-0.73	0	-0.72	-0.31	-0.72	-0.69	-0.72	-0.58	-0.74
SELM	-0.78	1.53	-1.04	-0.76	-0.35	0.92	-1.09	-1.06	-1.15	-1.18	-1.01	0	-0.91
FSCN1	-0.78	-0.38	-0.57	0.4	-0.82	-0.49	-0.74	1.68	-0.76	-0.64	-0.5	0.81	-0.76
MARCKS	-0.78	0.86	0.63	0.3	-0.51	0.32	-0.72	0.39	-0.72	-0.6	-0.7	0.51	-0.74
C1R	-0.79	0.94	-0.75	-0.61	-0.71	0.43	-0.69	-0.74	-0.7	-0.73	-0.71	-0.43	-0.73
CD59	-0.79	0.32	-0.36	0.47	-0.57	1.12	-0.58	-0.55	-0.51	-0.79	-0.51	1.22	-0.39
CRIP2	-0.79	0.37	-0.9	0.61	-0.91	1.26	-0.86	-0.85	-0.86	-0.9	-0.89	1.65	-0.87
AKR1C2	-0.79	-0.75	-0.75	1.34	-0.75	-0.66	-0.72	-0.74	-0.74	-0.74	-0.74	-0.68	-0.76
SPINT2	-0.8	-1.02	-0.49	1.28	-0.66	-0.83	-0.9	0.45	-0.91	-0.39	0	-0.99	-0.84
CSTA	-0.8	-0.73	0.31	2.33	-0.75	-0.71	-0.73	0.4	-0.73	-0.74	-0.74	-0.75	-0.76
COL5A2	-0.8	2.01	-0.75	-0.66	-0.75	1.1	-0.73	-0.74	-0.73	-0.74	-0.74	-0.63	-0.76
CD151	-0.8	0.64	-0.27	0.67	-0.84	0.76	-0.38	-0.59	-0.39	-0.89	-0.32	0.59	-0.6
PLTP	-0.81	0.3	0.62	-0.29	-0.62	0	-0.73	-0.66	-0.73	-0.73	-0.73	-0.55	-0.77
PLAU	-0.81	1.4	0.68	0.48	-0.76	0	-0.68	0	-0.66	-0.75	0	0	-0.77
RAB31	-0.81	1.23	0.88	-0.31	-0.72	0.81	-0.72	0.34	-0.74	-0.67	-0.68	0	-0.77
CD68	-0.81	-0.29	2.35	-0.48	-0.73	-0.55	-0.73	0.32	-0.73	-0.71	0	-0.6	-0.74
GPX2	-0.82	-0.8	-0.77	1.07	-0.77	-0.72	-0.76	-0.76	-0.75	-0.76	-0.76	-0.77	-0.78
COL4A1	-0.82	-0.26	-0.78	-0.76	-0.77	1.9	-0.76	-0.76	-0.76	-0.76	-0.76	1.97	-0.78
PDLIM3	-0.82	1.51	-0.78	-0.69	-0.77	0.97	-0.76	-0.77	-0.76	-0.76	-0.76	0	-0.78
S100A13	-0.83	0.64	-0.63	0.55	-0.77	0	-0.73	-0.64	-0.71	-0.75	-0.59	0.54	-0.79
TCF4	-0.83	0.59	-0.45	-0.59	0	0.64	-0.75	-0.41	-0.77	0.45	-0.74	0.87	-0.78
COL4A2	-0.83	0.52	-0.77	-0.76	-0.78	1.81	-0.77	-0.77	-0.77	-0.77	-0.77	1.88	-0.79
TMEM176A	-0.83	1.1	1.15	-0.76	-0.78	0	-0.77	0.64	-0.77	-0.77	0.27	-0.68	-0.79
STMN1	-0.84	-0.45	-0.8	-0.32	-1.16	-0.7	1.41	-0.4	2.09	1.18	0	1.13	-0.8
HTRA1	-0.84	1.39	-0.53	-0.7	-0.8	0	-0.55	-0.78	-0.57	-0.8	-0.79	0.54	-0.8
IGFBP2	-0.84	-0.8	-0.79	0.59	-0.81	0.87	-0.74	-0.81	-0.77	-0.81	-0.8	-0.27	-0.82
HLA-DQB1	-0.84	-1.45	1.67	-1.15	-1.25	-1.4	-0.39	2.02	-0.38	1.2	-1.08	-1.02	-0.79
CD79A	-0.85	-1	-0.95	-0.95	1.13	-0.95	-0.81	-0.8	-0.86	2.14	-0.92	-0.95	-0.72
CNN3	-0.85	1.06	-0.81	0.35	-0.81	1.13	-0.78	-0.74	-0.79	-0.8	-0.77	0.33	-0.82
CAV1	-0.85	0.41	-0.91	-0.51	-0.67	1.41	-0.82	-0.86	-0.85	-0.85	-0.9	1.14	-0.89
MMP14	-0.85	1.8	0.35	-0.35	-0.8	0.39	-0.79	-0.59	-0.79	-0.8	-0.77	0	-0.81
KRT18	-0.86	-0.79	-0.82	1.3	-0.8	0	-0.74	-0.8	-0.77	-0.82	-0.84	-0.47	-0.84
HLA-DRB5	-0.86	-1.75	1.79	-1.34	-1.53	-1.68	-0.35	1.74	0	1.11	0	0.27	-0.65
RAB13	-0.86	0.57	0	0.27	-0.75	0.62	-0.77	-0.39	-0.75	-0.78	-0.37	0.92	-0.82
EFEMP1	-0.87	1.37	-0.82	-0.64	-0.81	-0.58	-0.8	-0.81	-0.8	-0.81	-0.8	-0.25	-0.82
FSTL1	-0.87	0.96	-0.82	-0.75	-0.81	0.74	-0.81	-0.81	-0.81	-0.81	-0.8	0.66	-0.82
MFAP5	-0.87	0.39	-0.83	-0.79	-0.82	-0.79	-0.81	-0.81	-0.81	-0.81	-0.81	-0.79	-0.83
PTRF	-0.88	0.82	-0.76	-0.41	-0.83	0.92	-0.82	-0.81	-0.82	-0.83	0	1.07	-0.84
C3	-0.88	1.76	-0.38	-0.74	-0.83	-0.78	-0.82	-0.78	-0.82	-0.83	-0.82	-0.8	-0.84
PSAP	-0.89	0.28	1.74	-0.54	-0.59	0	-1.03	0	-1.1	-1.07	0	0	-0.63
AKR1C1	-0.89	-0.71	-0.85	0.88	-0.85	-0.69	-0.83	-0.84	-0.83	-0.84	-0.83	-0.69	-0.86
PMP22	-0.9	0.8	0.63	-0.78	-0.85	0.49	-0.81	-0.61	-0.8	-0.84	0	0.31	-0.86
TXN	-0.91	-0.42	0.26	0.8	-1.46	-0.62	-0.27	1.92	-0.61	-1.26	-0.67	0	0
GPNMB	-0.91	0.37	0.65	-0.33	-0.85	0	-0.84	-0.7	-0.83	-0.85	-0.83	-0.46	-0.86
PRSS23	-0.91	0.87	-0.87	-0.62	-0.86	1.53	-0.82	-0.85	-0.81	-0.86	-0.86	1.08	-0.87
DSTN	-0.92	0.62	-0.89	0.53	-1.02	1.13	-0.8	-0.78	-0.93	-0.56	-0.59	0.42	-0.98
CCND1	-0.92	-0.32	-0.69	0.92	-0.9	0	-0.86	-0.47	-0.85	-0.89	-0.84	0.25	-0.88
CSTB	-0.92	-0.89	0.63	2.31	-1.57	-0.98	-0.86	0	-1.02	-0.89	0	-0.46	-0.77
MFAP2	-0.92	1.97	-0.88	-0.43	-0.87	0	-0.86	-0.86	-0.86	-0.86	-0.74	-0.58	-0.88
ISLR	-0.93	1.8	-0.88	-0.87	-0.87	0	-0.87	-0.87	-0.87	-0.87	-0.86	-0.84	-0.88
NME2	-0.93	0.39	-0.28	0.58	-0.93	0	-0.29	0	-0.69	-0.36	0	0.38	-0.7
AEBP1	-0.93	2.03	-0.89	-0.87	-0.88	0.84	-0.87	-0.87	-0.87	-0.86	-0.7	-0.61	-0.89
SPON2	-0.93	1.86	-1.02	-0.86	-1.01	1.34	-0.91	-0.93	-0.94	-1.02	-1.01	-0.98	-0.95
TMEM176B	-0.93	1.1	1.39	-0.87	-0.88	0	-0.87	0.37	-0.87	-0.87	0.57	-0.77	-0.89
NUPR1	-0.93	0.63	-0.32	0.68	-0.88	0.26	-0.86	-0.81	-0.86	-0.88	-0.87	-0.75	-0.89
FXYD3	-0.94	-0.9	-0.89	1.29	-0.89	-0.81	-0.86	-0.87	-0.87	-0.88	-0.88	-0.89	-0.9
ELF3	-0.94	-0.91	-0.9	2.29	-0.88	-0.81	-0.86	-0.88	-0.86	-0.88	-0.88	-0.89	-0.88
ID1	-0.94	0.47	-0.9	1.05	-0.93	0	-0.9	-0.9	-0.86	-0.95	-0.82	0.84	-0.96
ICAM1	-0.95	0.61	0.89	-0.67	-0.83	0	-0.83	0.38	-0.84	-0.69	0.45	0.52	-0.86
EMP1	-0.95	0.41	-0.53	0.84	-0.97	0	-0.93	-0.72	-0.94	-0.96	-0.95	0.93	-0.95
RNASE1	-0.96	-0.94	2.04	-0.37	0	0	-0.94	0	0	-0.92	0	1.67	-0.92
THBS1	-0.96	0.67	0.58	-0.86	-1.01	0.66	-0.86	-0.6	-0.8	-1	0	0.35	-0.96
MDK	-0.96	0.93	-0.89	0.47	-0.74	0	-0.86	-0.87	-0.87	-0.92	-0.86	0	-0.87
TSC22D1	-0.97	0.67	-0.45	0.55	-0.98	0.82	-0.54	-0.86	-0.55	-0.83	0.69	0.48	-0.98
ID3	-0.97	1.12	-0.53	-1.02	-1.57	1.31	-0.39	-1.14	0	-0.44	-1.55	0.46	-0.59
SERPINE1	-0.97	0.46	-0.81	-0.68	-0.95	0	-0.87	-0.89	-0.86	-0.94	-0.74	1.53	-0.94
CRYAB	-0.97	2.17	-0.87	0.66	-0.92	0.77	-0.84	-0.91	-0.82	-0.92	-0.87	-0.93	-0.93
KRT6B	-0.98	-0.94	-0.91	2.1	-0.92	-0.8	-0.9	-0.91	-0.9	-0.91	-0.9	-0.91	-0.93
LY6D	-0.98	-0.94	0	1.6	0	0	-0.95	0	0	-0.94	0	0	0
RHOB	-0.98	0.28	-0.48	0.44	-0.85	0.52	-0.46	-0.89	0	-0.94	-0.66	0.52	-1.13
VCAN	-0.99	1.81	1	-0.92	-0.93	0	-0.93	-0.8	-0.92	-0.92	-0.92	-0.46	-0.95
KRT8	-1	-0.91	-0.94	1.43	-0.94	-0.65	-0.87	-0.91	-0.87	-0.94	-0.93	-0.77	-0.96
NEAT1	-1	0.47	0.81	1.25	-1.03	0	-0.99	0	-0.97	-1.19	0.6	0.41	-0.8
GRN	-1	0.43	1.55	0.32	-0.66	0	-0.91	0.59	-0.97	-0.47	-0.26	0.42	-0.76
PTMS	-1.01	0.4	-0.34	0.46	-1.22	0.57	-0.3	0	0	-1.01	-0.61	0.85	-0.62
S100A14	-1.02	-0.99	-0.96	1.53	-0.97	-0.89	-0.88	-0.93	-0.87	-0.96	-0.96	-0.95	-0.98
CALML3	-1.03	-0.99	-0.97	1.58	-0.97	-0.88	-0.93	-0.96	-0.95	-0.96	-0.96	-0.97	-0.98
HLA-DQA1	-1.03	-1.79	1.62	-1.57	-1.53	-1.72	-0.38	2.1	0	1.17	-1.09	-1.4	0
NPC2	-1.03	0.31	1.47	0.38	-0.52	0	-1.07	0	-1.11	-0.91	0	0.33	-0.89
GLUL	-1.04	-0.41	1.57	1.24	-1.38	0	-0.91	0	-0.97	-0.97	1.66	-0.27	-1.24
PCOLCE	-1.04	1.81	-0.99	-0.96	-1	1.1	-0.96	-0.97	-0.94	-0.98	-0.97	-0.95	-1
KLF4	-1.04	-0.31	0	0.74	-1.04	-0.3	-0.98	0	-0.99	-1	-0.45	0.65	-1.02
S100A6	-1.04	0.73	0.39	0.74	-2.54	0	-0.71	-0.36	-1.01	-2.77	0	0.39	-0.58
SOD3	-1.05	-0.38	-1	-0.98	-0.99	1.74	-0.98	-0.98	-0.98	-0.98	-0.98	-0.96	-1
S100A16	-1.05	0.25	-0.99	1.35	-0.99	-0.73	-0.94	-0.98	-0.94	-0.98	-0.98	0.57	-1
C1QB	-1.06	-0.91	3.04	-0.3	-1.01	0	-0.98	0	-0.99	-1.01	-0.99	-0.52	-1.01
C15orf48	-1.07	-0.89	1.95	0.94	-1.02	-1.01	-0.95	1.86	-0.92	-1	-0.85	-0.92	-1.03
TPM1	-1.07	1.72	-0.87	-0.72	-1.04	1.55	-0.94	-0.97	-0.92	-1.01	-0.64	-0.55	-1.01
FOS	-1.08	0.77	-0.6	0.49	-1.08	1.08	-1.54	-0.82	-1.42	-1.82	0	0.37	-2.08
APP	-1.09	0.54	-0.63	0.68	-1.21	0.48	-1.06	-0.61	-1.09	-1.19	-1.19	0.89	-1.08
PDLIM1	-1.1	1.02	-1.04	0.4	-0.94	0.72	-1	-0.85	-1	-0.52	-1.05	1.1	-1.07
CLDN4	-1.1	-1.08	-1.05	2.56	-1.04	-1	-1.02	-1.03	-1.02	-1.03	-1.03	-1.05	-1.05
FCER1G	-1.11	-1.11	2.59	-1.11	-1.1	-1.1	-0.77	0.76	-0.71	-1.09	1.32	-1.09	-1.03
G0S2	-1.11	-0.66	2.29	-1.2	-1.19	-0.75	-0.99	1.54	-1.14	-1.27	-1.17	-0.84	-1.19
HLA-DRB1	-1.13	-2.55	2.01	-1.8	-2.21	-2.47	-0.48	1.98	0	0.94	-1.07	0	0
APOE	-1.13	-0.35	2.86	-0.92	-1.07	0.33	-1.05	0	-1.05	-1.07	0	-1.08	-1.08
S100A11	-1.13	0.33	0.72	1.3	-2.41	-0.28	-0.85	0	-0.89	-2.43	0	-0.49	-1.14
THY1	-1.14	2.06	-1.09	-1.07	-1.08	1.57	-1.07	-1.07	-1.07	-1.07	-1.07	-0.34	-1.09
CEBPD	-1.15	0.98	-0.26	0.59	-1.25	0	-0.94	0	-0.9	-1.21	-1.23	0	-1.15
ATF3	-1.16	0.43	0	0.69	-0.83	0.78	-0.38	0	0	-1.56	-0.52	0	-1.26
CTSB	-1.17	0.4	2.18	-0.34	-1.69	0	-1.12	0	-1.14	-1.6	0	-0.45	-0.9
NNMT	-1.18	1.49	-1.1	-1.09	-1.11	0.77	-1.1	-1.11	-1.1	-1.11	-1.1	0.72	-1.13
COL6A3	-1.18	2.32	-1.15	-1.14	-1.14	0.79	-1.09	-1.12	-1.09	-1.13	-1.13	-1.12	-1.13
CXCL14	-1.19	-0.27	-1.1	1.01	-1.13	-0.86	-1.02	-1.09	-1.06	-1.11	-1.11	-1.12	-1.14
CCDC80	-1.19	0.53	-1.13	-0.84	-1.12	-0.35	-1.12	-1.12	-1.12	-1.12	-1.11	-0.95	-1.14
HSPB1	-1.19	0.38	-0.45	1.31	-1.01	0.5	-0.51	-0.44	-0.64	-1.97	-0.82	0	-0.94
SOD2	-1.19	0.45	1.57	-0.71	-1.83	0	-1.46	0.27	-1.47	-1.4	-1.7	0	-1.49
A2M	-1.2	-0.44	-0.25	-1.14	-1.13	1.02	-1.13	-0.95	-1.13	-1.13	-1.09	1.07	-1.15
FTL	-1.21	0.3	2.02	-1.02	-0.73	-0.35	-0.98	0	-1.23	-1.34	0	-1.01	-1.04
TPM2	-1.21	2.1	-1.11	-1.01	-1.16	1.71	-1.13	-1.01	-1.13	-1.12	-1.14	-0.9	-1.17
CTGF	-1.22	1.72	-1.17	-1.09	-1.12	0.69	-1.15	-1.06	-1.15	-1.14	-1.15	1	-1.17
PLAUR	-1.23	-0.63	2.12	0.32	-1.3	-0.88	-1.27	0.38	-1.29	-1.33	0.62	-0.99	-1.3
CXCL3	-1.23	-0.76	1.98	-0.84	-1.17	0	-1.14	0	-1.15	-1.16	-0.46	0	-1.18
TYROBP	-1.24	-1.35	2.71	-1.3	-1.25	-1.3	-0.81	1.41	-0.79	-1.27	1.04	-1.29	-1.18
KRT16	-1.27	-1.21	-1.2	2.56	-1.21	-1.06	-1.18	-1.2	-1.18	-1.2	-1.19	-1.18	-1.22
SLPI	-1.27	-1.24	-1.2	1.93	-1.21	-1.16	-1.18	-1.2	-1.16	-1.2	-1.2	-1.16	-1.22
ANXA2	-1.27	0.52	0.44	0.81	-1.82	0	-0.73	0	-0.68	-1.59	-1.83	0.66	-0.91
