"CD4Tconv"	"Fibroblasts"	"Mono/Macro"	"Malignant"	"Plasma"	"Pericytes"	"CD8Tex"	"DC"	"Tprolif"	"B"	"Mast"	"Endothelial"	"Treg"
"AKNA.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"GZMM.3"	0	-0.46	0	0	0	0	0	0	0	0	0	0	0
"CRIP1.3"	0	-0.65	0	0	0	0	0	0	0	0	0	0	0
"PBX4.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"ARL4C.2"	0	-0.49	0	0	0	0	0	0	0	0	0	0	0
"HMHA1.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"PARVG.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"ICAM1.1"	0	0.41	0	0	0	0	0	0	0	0	0	0	0
"FXYD3.2"	0	-0.86	0	0	0	0	0	0	0	0	0	0	0
"NCKAP1L.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"DSTN.3"	0	0.27	0	0	0	0	0	0	0	0	0	0	0
"NCF4.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"ADM.2"	0	0.38	0	0	0	0	0	0	0	0	0	0	0
"TRAF1.2"	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
"SMAP2.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"KLF6.1"	0	0.34	0	0	0	0	0	0	0	0	0	0	0
"TMC8.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"NOP58.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"CTLA4.3"	0	-0.61	0	0	0	0	0	0	0	0	0	0	0
"PCED1B.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"MT1F.1"	0	-0.58	0	0	0	0	0	0	0	0	0	0	0
"MAP4K1.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"CIB1.2"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"SERINC1.1"	0	0.28	0	0	0	0	0	0	0	0	0	0	0
"ITK.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"GK.2"	0	-0.57	0	0	0	0	0	0	0	0	0	0	0
"LAG3.3"	0	-0.75	0	0	0	0	0	0	0	0	0	0	0
"RNH1.1"	0	0.25	0	0	0	0	0	0	0	0	0	0	0
"FCMR.3"	0	-0.44	0	0	0	0	0	0	0	0	0	0	0
"ATP1B1.2"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"CYFIP2.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"SPINT1.2"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"APOBEC3G.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"FERMT3.3"	0	-0.37	0	0	0	0	0	0	0	0	0	0	0
"DOCK2.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"BTG1.3"	0	-0.98	0	0	0	0	0	0	0	0	0	0	0
"PSTPIP1.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"TRBC1.3"	0	-0.6	0	0	0	0	0	0	0	0	0	0	0
"TRAF4.3"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"SOD1.1"	0	-0.48	0	0	0	0	0	0	0	0	0	0	0
"SPN.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"SUSD3.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"CD8A.3"	0	-1.18	0	0	0	0	0	0	0	0	0	0	0
"CACYBP.3"	0	-0.59	0	0	0	0	0	0	0	0	0	0	0
"RPL37.2"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"CXCL1.3"	0	0.4	0	0	0	0	0	0	0	0	0	0	0
"RPS20.3"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"AD000671.6.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"TRAC.3"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"FOSB.3"	0	0.39	0	0	0	0	0	0	0	0	0	0	0
"SDC1.2"	0	-0.41	0	0	0	0	0	0	0	0	0	0	0
"CXCR6.3"	0	-0.61	0	0	0	0	0	0	0	0	0	0	0
"YPEL5.3"	0	-0.67	0	0	0	0	0	0	0	0	0	0	0
"SH2D1A.3"	0	-0.41	0	0	0	0	0	0	0	0	0	0	0
"IRF4.3"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"ITGB7.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"ISG20.3"	0	-0.72	0	0	0	0	0	0	0	0	0	0	0
"RASGEF1B.3"	0	-0.37	0	0	0	0	0	0	0	0	0	0	0
"CTSW.3"	0	-0.77	0	0	0	0	0	0	0	0	0	0	0
"PPIF.1"	0	-0.52	0	0	0	0	0	0	0	0	0	0	0
"SIT1.3"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"S100A14.2"	0	-0.91	0	0	0	0	0	0	0	0	0	0	0
"CALR.1"	0	0.3	0	0	0	0	0	0	0	0	0	0	0
"HSP90B1.2"	0	0.25	0	0	0	0	0	0	0	0	0	0	0
"CALML3.2"	0	-0.94	0	0	0	0	0	0	0	0	0	0	0
"CD5.3"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"RPL35.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"NFKBIA.1"	0	0.35	0	0	0	0	0	0	0	0	0	0	0
"EVI2A.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"RAB25.2"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"ZAP70.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"TRIM29.2"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"CCR7.3"	0	-0.82	0	0	0	0	0	0	0	0	0	0	0
"BCAS2.3"	0	-0.44	0	0	0	0	0	0	0	0	0	0	0
"TUBA4A.3"	0	-0.67	0	0	0	0	0	0	0	0	0	0	0
"SFN.2"	0	-1.47	0	0	0	0	0	0	0	0	0	0	0
"AQP3.3"	0	-0.63	0	0	0	0	0	0	0	0	0	0	0
"REL.3"	0	-0.71	0	0	0	0	0	0	0	0	0	0	0
"ADAM8.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CYP1B1.1"	0	0.33	0	0	0	0	0	0	0	0	0	0	0
"C12orf75.1"	0	-0.4	0	0	0	0	0	0	0	0	0	0	0
"RP11-325F22.2.3"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"ALDOA.2"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"PTGES3.2"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"TPD52.2"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"HMGB2.3"	0	-0.62	0	0	0	0	0	0	0	0	0	0	0
"ADK.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"KRT5.2"	0	-1.8	0	0	0	0	0	0	0	0	0	0	0
"PTGER4.2"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"PDE3B.2"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"PRDM1.2"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"SERPINB5.2"	0	-0.4	0	0	0	0	0	0	0	0	0	0	0
"S100A11.1"	0	-0.71	0	0	0	0	0	0	0	0	0	0	0
"CAMK4.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"CYBA.3"	0	-0.47	0	0	0	0	0	0	0	0	0	0	0
"LDLRAD4.3"	0	-0.66	0	0	0	0	0	0	0	0	0	0	0
"IDS.1"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"SOCS1.3"	0	-0.48	0	0	0	0	0	0	0	0	0	0	0
"SARAF.3"	0	-0.72	0	0	0	0	0	0	0	0	0	0	0
"SIRPG.3"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"PDCD1.3"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"NR4A3.2"	0	-0.54	0	0	0	0	0	0	0	0	0	0	0
"GZMH.3"	0	-0.8	0	0	0	0	0	0	0	0	0	0	0
"OASL.1"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"CCL4L2.3"	0	-1.67	0	0	0	0	0	0	0	0	0	0	0
"TNFRSF9.3"	0	-0.49	0	0	0	0	0	0	0	0	0	0	0
"IL16.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"CCL5.3"	0	-2.02	0	0	0	0	0	0	0	0	0	0	0
"CXCL16.1"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"ELF3.2"	0	-0.86	0	0	0	0	0	0	0	0	0	0	0
"SQSTM1.3"	0	0.26	0	0	0	0	0	0	0	0	0	0	0
"CD83.3"	0	-1.05	0	0	0	0	0	0	0	0	0	0	0
"SPARCL1.2"	0	0.6	0	0	0	0	0	0	0	0	0	0	0
"GPX2.2"	0	-0.75	0	0	0	0	0	0	0	0	0	0	0
"LIMD2.3"	0	-0.62	0	0	0	0	0	0	0	0	0	0	0
"PPP1R15A.2"	0	0.3	0	0	0	0	0	0	0	0	0	0	0
"CDKN1B.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"CD8B.3"	0	-0.57	0	0	0	0	0	0	0	0	0	0	0
"PLEKHA2.1"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"SELK.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"FNBP1.3"	0	-0.4	0	0	0	0	0	0	0	0	0	0	0
"DENND2D.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"CXCR3.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"CD4.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"RUNX1.1"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"KRT17.3"	0	-2.21	0	0	0	0	0	0	0	0	0	0	0
"CD24.2"	0	-0.49	0	0	0	0	0	0	0	0	0	0	0
"CDK2AP2.2"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"CD28.3"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"DRAP1.1"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"SELL.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"JAML.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"TRABD.2"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"GPSM3.3"	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
"CCL3.3"	0	-1.57	0	0	0	0	0	0	0	0	0	0	0
"UQCR10.1"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"LAT2.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"KRT6A.3"	0	-2.13	0	0	0	0	0	0	0	0	0	0	0
"PTP4A1.2"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"EPCAM.2"	0	-0.43	0	0	0	0	0	0	0	0	0	0	0
"LAMB3.3"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"CLDN4.3"	0	-1.01	0	0	0	0	0	0	0	0	0	0	0
"CREM.3"	0	-1	0	0	0	0	0	0	0	0	0	0	0
"DSC3.1"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"TNF.3"	0	-0.54	0	0	0	0	0	0	0	0	0	0	0
"CD79A.3"	0	-0.94	0	0	0	0	0	0	0	0	0	0	0
"PLEK.3"	0	-0.52	0	0	0	0	0	0	0	0	0	0	0
"SPI1.3"	0	-0.41	0	0	0	0	0	0	0	0	0	0	0
"TYROBP.3"	0	-1.28	0	0	0	0	0	0	0	0	0	0	0
"IFIT3.1"	0	0.28	0	0	0	0	0	0	0	0	0	0	0
"TP63.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CD70.2"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"HAVCR2.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"GNLY.3"	0	-2.29	0	0	0	0	0	0	0	0	0	0	0
"KRT15.2"	0	-1.23	0	0	0	0	0	0	0	0	0	0	0
"H3F3B.1"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"SLC2A1.2"	0	-0.36	0	0	0	0	0	0	0	0	0	0	0
"IL27RA.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"S100A2.2"	0	-2.09	0	0	0	0	0	0	0	0	0	0	0
"CLDN7.2"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"FCER1G.3"	0	-1.1	0	0	0	0	0	0	0	0	0	0	0
"PTPN1.3"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"PGK1.1"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"TFRC.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"LMNB1.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"RNF149.2"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"GALM.2"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"FAM129A.1"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"RPL35A.2"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"BASP1.1"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"CHST11.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"SLAMF1.3"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"ATF3.3"	0	0.26	0	0	0	0	0	0	0	0	0	0	0
"IL2RA.3"	0	-0.49	0	0	0	0	0	0	0	0	0	0	0
"FKBP4.2"	0	-0.48	0	0	0	0	0	0	0	0	0	0	0
"ARPC2.2"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"ATP5G3.1"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"SOX15.1"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"ACTB.2"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"HLA-DQA2.3"	0	-0.49	0	0	0	0	0	0	0	0	0	0	0
"SLBP.3"	0	-0.36	0	0	0	0	0	0	0	0	0	0	0
"SRSF7.3"	0	-0.43	0	0	0	0	0	0	0	0	0	0	0
"PKP1.2"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"LYPD3.2"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"GPNMB.2"	0	-0.52	0	0	0	0	0	0	0	0	0	0	0
"IL1RN.3"	0	-0.72	0	0	0	0	0	0	0	0	0	0	0
"HOPX.1"	0	-0.51	0	0	0	0	0	0	0	0	0	0	0
"TRAT1.3"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"NUDT4.1"	0	0.35	0	0	0	0	0	0	0	0	0	0	0
"LGALS3BP.3"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"TOX.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"GTF2B.2"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"ARRB2.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"LTB.3"	0	-0.66	0	0	0	0	0	0	0	0	0	0	0
"CDKN1A.1"	0	0.36	0	0	0	0	0	0	0	0	0	0	0
"CCR6.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"POU2F2.1"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"HLA-DPA1.3"	0	-1.11	0	0	0	0	0	0	0	0	0	0	0
"RHOG.3"	0	-0.41	0	0	0	0	0	0	0	0	0	0	0
"DOCK8.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"KLRB1.3"	0	-0.56	0	0	0	0	0	0	0	0	0	0	0
"JAK3.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"KRT6B.2"	0	-0.89	0	0	0	0	0	0	0	0	0	0	0
"RPA3.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"SUB1.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"MOB1A.2"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"CXCL12.2"	0	0.28	0	0	0	0	0	0	0	0	0	0	0
"KRT19.3"	0	-1.71	0	0	0	0	0	0	0	0	0	0	0
"GPX4.1"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"DDIT4.3"	0	-0.58	0	0	0	0	0	0	0	0	0	0	0
"CXCL13.3"	0	-1.52	0	0	0	0	0	0	0	0	0	0	0
"RPL22L1.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"PRNP.3"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"SMCHD1.3"	0	-0.36	0	0	0	0	0	0	0	0	0	0	0
"TNIP3.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"PFN1.1"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"SYAP1.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"PDCL3.2"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"SATB1.3"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"RPL4.1"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"DUSP10.1"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"ZFAS1.2"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"CD82.2"	0	-0.36	0	0	0	0	0	0	0	0	0	0	0
"ACTR3.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"CSK.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"CDC42SE1.2"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"C15orf48.2"	0	-1	0	0	0	0	0	0	0	0	0	0	0
"HMGN2.1"	0	-0.43	0	0	0	0	0	0	0	0	0	0	0
"KRT16.3"	0	-1.16	0	0	0	0	0	0	0	0	0	0	0
"KLRD1.2"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"MGAT4A.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"SH3KBP1.3"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"GPRIN3.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"GEM.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"COTL1.3"	0	-0.62	0	0	0	0	0	0	0	0	0	0	0
"HIST1H1C.2"	0	-0.41	0	0	0	0	0	0	0	0	0	0	0
"CLDN1.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"HLA-DQB1.3"	0	-0.94	0	0	0	0	0	0	0	0	0	0	0
"TANK.2"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"PPM1K.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"HLA-DPB1.3"	0	-1.12	0	0	0	0	0	0	0	0	0	0	0
"HCLS1.3"	0	-0.44	0	0	0	0	0	0	0	0	0	0	0
"HSP90AA1.2"	0	-0.38	0	0	0	0	0	0	0	0	0	0	0
"SNHG15.2"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"KRT14.3"	0	-1.9	0	0	0	0	0	0	0	0	0	0	0
"S100A9.2"	0	-2.15	0	0	0	0	0	0	0	0	0	0	0
"ZC3H12A.1"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"EML4.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"OXNAD1.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"ALDH3A1.2"	0	-0.44	0	0	0	0	0	0	0	0	0	0	0
"CLIC3.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"LGALS7B.2"	0	-0.62	0	0	0	0	0	0	0	0	0	0	0
"RPS25.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"HLA-DMB.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"HLA-DMA.3"	0	-0.48	0	0	0	0	0	0	0	0	0	0	0
"GJB2.2"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"CDKN2A.2"	0	-0.41	0	0	0	0	0	0	0	0	0	0	0
"H2AFV.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"ENO1.2"	0	-0.37	0	0	0	0	0	0	0	0	0	0	0
"FBLN5.2"	0	0.26	0	0	0	0	0	0	0	0	0	0	0
"ANP32B.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"HPGD.2"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"PFN2.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"IDI1.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"HERPUD1.3"	0	-0.43	0	0	0	0	0	0	0	0	0	0	0
"S100A8.3"	0	-1.99	0	0	0	0	0	0	0	0	0	0	0
"PKM.3"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"TOB1.1"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"TMC6.3"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"ITGAE.2"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"USP36.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"G3BP2.3"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"MXD1.2"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"TKT.2"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"TACSTD2.3"	0	-1.23	0	0	0	0	0	0	0	0	0	0	0
"PHLDA2.1"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"BUB3.2"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"LYST.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"DNAJB6.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"CCND2.2"	0	-0.36	0	0	0	0	0	0	0	0	0	0	0
"GRB2.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"MT1X.2"	0	-0.58	0	0	0	0	0	0	0	0	0	0	0
"PLAU.2"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"ODC1.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"GPBP1.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"NR4A2.3"	0	-0.65	0	0	0	0	0	0	0	0	0	0	0
"ARF6.3"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CMTM6.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"PIK3IP1.3"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"LGALS7.2"	0	-0.6	0	0	0	0	0	0	0	0	0	0	0
"RPS26.3"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"NQO1.1"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"KLF5.2"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"DEDD2.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"HLA-DRB5.3"	0	-0.89	0	0	0	0	0	0	0	0	0	0	0
"STIP1.2"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"MIR155HG.3"	0	-0.49	0	0	0	0	0	0	0	0	0	0	0
"FYN.3"	0	-0.43	0	0	0	0	0	0	0	0	0	0	0
"SULF1.2"	0	0.37	0	0	0	0	0	0	0	0	0	0	0
"RAP2B.1"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CKLF.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"AHSA1.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"LINC-PINT.3"	0	-0.36	0	0	0	0	0	0	0	0	0	0	0
"RNF19A.3"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"LEPROTL1.3"	0	-0.46	0	0	0	0	0	0	0	0	0	0	0
"IGKC.3"	0	-1.87	0	0	0	0	0	0	0	0	0	0	0
"FTH1.2"	0	-0.59	0	0	0	0	0	0	0	0	0	0	0
"CHORDC1.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"ARHGEF1.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"G0S2.1"	0	-1.08	0	0	0	0	0	0	0	0	0	0	0
"TPI1.1"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"CRABP2.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"CALM3.1"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CDC42SE2.3"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"RPS2.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CRYAB.1"	0	-0.46	0	0	0	0	0	0	0	0	0	0	0
"HSPA6.1"	0	0.38	0	0	0	0	0	0	0	0	0	0	0
"SLC25A5.2"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"ANKRD37.2"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"ZC3HAV1.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"HIST1H4C.3"	0	-0.51	0	0	0	0	0	0	0	0	0	0	0
"NR3C1.2"	0	-0.42	0	0	0	0	0	0	0	0	0	0	0
"DNPH1.1"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"CSTB.3"	0	-0.4	0	0	0	0	0	0	0	0	0	0	0
"CCL20.2"	0	-0.7	0	0	0	0	0	0	0	0	0	0	0
"CXCL14.3"	0	-0.66	0	0	0	0	0	0	0	0	0	0	0
"TXN.2"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"PFKFB3.1"	0	-0.28	0	0	0	0	0	0	0	0	0	0	0
"RPL8.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"HLA-DRB1.3"	0	-1.02	0	0	0	0	0	0	0	0	0	0	0
"PNRC1.1"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"CBLB.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"AKAP13.3"	0	-0.25	0	0	0	0	0	0	0	0	0	0	0
"NFE2L2.1"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"SH3BGRL3.3"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"DCN.3"	0	-0.45	0	0	0	0	0	0	0	0	0	0	0
"IGFBP3.3"	0	0.28	0	0	0	0	0	0	0	0	0	0	0
"CTSB.2"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"RBPJ.2"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"BCL2A1.3"	0	-0.79	0	0	0	0	0	0	0	0	0	0	0
"GAPDH.2"	0	-0.33	0	0	0	0	0	0	0	0	0	0	0
"LY9.2"	0	-0.39	0	0	0	0	0	0	0	0	0	0	0
"TUBA1C.2"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"SEPT6.3"	0	-0.29	0	0	0	0	0	0	0	0	0	0	0
"MGST1.2"	0	-0.34	0	0	0	0	0	0	0	0	0	0	0
"IRF7.2"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"LY6E.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"GSTM3.1"	0	-0.31	0	0	0	0	0	0	0	0	0	0	0
"VPS37B.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"HLA-DRA.3"	0	-1.34	0	0	0	0	0	0	0	0	0	0	0
"ITM2A.2"	0	-0.35	0	0	0	0	0	0	0	0	0	0	0
"HSPH1.3"	0	-0.32	0	0	0	0	0	0	0	0	0	0	0
"RNF213.3"	0	-0.27	0	0	0	0	0	0	0	0	0	0	0
"NFKBID.3"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
"APOE.2"	0	-0.79	0	0	0	0	0	0	0	0	0	0	0
"CD68.2"	0	-0.52	0	0	0	0	0	0	0	0	0	0	0
"TMSB4X.3"	0	-0.26	0	0	0	0	0	0	0	0	0	0	0
"CFD.3"	0	-0.65	0	0	0	0	0	0	0	0	0	0	0
"MT1E.1"	0	-0.3	0	0	0	0	0	0	0	0	0	0	0
